Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
TNF-alpha Signaling via NF-kB	30/200	2.29631907913675e-10	1.07926996719427e-08	0	0	4.48857299929317	99.6218286381112	NFAT5;CD83;B4GALT1;TNFAIP3;SLC2A3;NAMPT;PDE4B;CCNL1;MCL1;KDM6B;TIPARP;ZBTB10;TRAF1;CFLAR;ATP2B1;FOSL2;NFKB2;NR4A2;PER1;KLF6;NR4A3;KLF9;REL;FOSB;IL6ST;IL7R;MXD1;SQSTM1;CD44;BIRC3
Mitotic Spindle	28/199	3.99542945999479e-09	9.38925923098775e-08	0	0	4.15352629242881	80.3213681188317	NOTCH2;NUMA1;ROCK1;EPB41;ARHGAP4;PREX1;AKAP13;PCM1;CNTRL;FLNA;RICTOR;SPTAN1;DYNC1H1;SUN2;RFC1;CSNK1D;MYO9B;ACTN4;HOOK3;SSH2;SMC1A;NIN;ABI1;RASA2;MYH9;EZR;DOCK2;RAPGEF6
G2-M Checkpoint	26/200	7.400070016457e-08	1.15934430257826e-06	0	0	3.77968585428401	62.0593850277505	NOTCH2;CDKN1B;CCNT1;NUMA1;YTHDC1;SRSF1;HNRNPU;ARID4A;HIF1A;SYNCRIP;XPO1;TRA2B;SRSF10;LBR;TMPO;SLC38A1;TGFB1;ATRX;PRPF4B;FOXN3;SMC1A;ILF3;SFPQ;HNRNPD;NUP98;KPNB1
IL-2/STAT5 Signaling	25/199	2.55961790754846e-07	2.65039041600409e-06	0	0	3.62949327723406	55.089311541679	PHTF2;CD83;AHNAK;CD81;RORA;SLC2A3;AHR;IKZF2;CD79B;NFKBIZ;LRRC8C;RABGAP1L;IL4R;IFNGR1;NCOA3;IL10RA;HUWE1;TRAF1;ADAM19;KLF6;IRF8;MXD1;CD44;CDC42SE2;PLEC
Interferon Gamma Response	25/200	2.81956427234478e-07	2.65039041600409e-06	0	0	3.60856384994316	54.4226036654211	NLRC5;TNFAIP3;ADAR;HIF1A;RNF213;APOL6;CASP8;NAMPT;ST8SIA4;STAT4;PDE4B;CD74;PTPN1;IL4R;NCOA3;IL10RA;STAT3;ARID5B;PARP14;TAPBP;BANK1;PELI1;IRF8;RAPGEF6;HLA-DRB1
Allograft Rejection	23/200	3.57260277263253e-06	2.79853883856215e-05	0	0	3.27333871401668	41.0549217156006	ITK;CD74;IL4R;TGFB1;PRKCB;IFNGR1;ITGAL;HIF1A;ETS1;CTSS;IL27RA;TAPBP;CD79A;ZAP70;CD4;PTPRC;ABI1;ST8SIA4;CD28;STAT4;FLNA;IRF8;EIF3A
UV Response Dn	18/144	1.28240950575378e-05	8.61046382434681e-05	0	0	3.58456917589638	40.3772493755232	NOTCH2;PHF3;CDKN1B;YTHDC1;CELF2;NEK7;ATRX;ATP2B4;PIK3CD;PRDM2;ATP2B1;NR3C1;RUNX1;SYNE1;TGFBR2;INPP4B;NIPBL;RASA2
Androgen Response	13/100	0.000134123812934299	0.000787977400989008	0	0	3.73251102908076	33.2818572955032	B4GALT1;NGLY1;ZBTB10;ARID5B;ELL2;PIAS1;RPS6KA3;INPP4B;MAF;CDK6;PTK2B;SLC38A2;FKBP5
Apoptosis	16/161	0.000564439203671744	0.002947626952508	0	0	2.75876530935057	20.63467585937	CDKN1B;ROCK1;IFNGR1;SATB1;SLC20A1;CFLAR;ADD1;CYLD;CASP8;DPYD;SC5D;SQSTM1;SPTAN1;CD44;MCL1;BIRC3
PI3K/AKT/mTOR  Signaling	12/105	0.000791645618337306	0.00372073440618534	0	0	3.21789965092316	22.9802980055715	RPS6KA3;GSK3B;ACTR2;CDKN1B;PRKCB;CLTC;THEM4;CXCR4;GRB2;PLCG1;IRAK4;SQSTM1
Hypoxia	17/200	0.00218895255485936	0.00857339750653251	0	0	2.32094143969709	14.2142162426389	WSB1;CDKN1B;MAP3K1;TIPARP;ZNF292;CXCR4;TNFAIP3;RORA;SLC2A3;KLHL24;NR3C1;ETS1;FOSL2;KLF6;IDS;MYH9;ANKZF1
Inflammatory Response	17/200	0.00218895255485936	0.00857339750653251	0	0	2.32094143969709	14.2142162426389	IL4R;SEMA4D;IL10RA;KCNA3;CYBB;AHR;ATP2B1;HIF1A;RASGRP1;TAPBP;KLF6;NAMPT;ABI1;PDE4B;IL7R;MXD1;CD55
IL-6/JAK/STAT3 Signaling	9/87	0.00672453278215247	0.0243117723662435	0	0	2.86858141858142	14.3486236899678	PTPN1;IL4R;TGFB1;ITGA4;IFNGR1;STAT3;GRB2;IL6ST;CD44
E2F Targets	15/200	0.0118550924774212	0.0348243341524249	0	0	2.02023489458044	8.9597372296832	DNMT1;CDKN1B;RFC1;PRKDC;SRSF1;SMC1A;PNN;SYNCRIP;ILF3;XPO1;TRA2B;HNRNPD;LUC7L3;LBR;TMPO
Myc Targets V1	15/200	0.0118550924774212	0.0348243341524249	0	0	2.02023489458044	8.9597372296832	IFRD1;SRSF1;HNRNPU;DDX21;SYNCRIP;XPO1;TRIM28;TRA2B;CANX;HNRNPD;DHX15;TARDBP;RPS10;KPNB1;EIF4G2
KRAS Signaling Up	15/200	0.0118550924774212	0.0348243341524249	0	0	2.02023489458044	8.9597372296832	RABGAP1L;MAP3K1;SATB1;IL10RA;CXCR4;TNFAIP3;IKZF1;TRAF1;ETS1;CTSS;NIN;IRF8;IL7R;DOCK2;BIRC3
