p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.05836229802612	0.876	0.508	0	c6	RNR1
0	1.50189758996832	0.636	0.348	0	c6	ND4
0	1.84477143528973	0.54	0.253	0	c6	ND1
0	1.69013960926373	0.5	0.219	0	c6	ND2
0	1.74559040773246	0.443	0.199	0	c6	ND5
0	1.58114477666014	0.693	0.457	0	c6	CYTB
0	1.66233362084561	0.724	0.491	0	c6	COX3
0	1.60136029069336	0.725	0.493	0	c6	ATP8
0	1.61897800489637	0.696	0.475	0	c6	ND4L
0	1.36867014751581	0.798	0.589	0	c6	ATP6
0	1.39157462322179	0.85	0.657	0	c6	ND3
0	1.70757249691535	0.954	0.79	0	c6	RNR2
0	1.38575087953982	0.899	0.759	0	c6	COX1
0	1.96004525547875	0.179	0.055	0	c6	ND6
0	1.27818478057864	0.921	0.814	0	c6	COX2
0	2.06921002127806	0.146	0.041	0	c6	RNA45S5
0	2.93832117279449	0.084	0.012	0	c6	XIST
0	0.864058937297882	0.931	0.881	0	c6	MALAT1
7.61620811117931e-281	1.54765456656079	0.127	0.051	1.47533567321654e-276	c6	NEAT1
4.52608594570509e-244	1.65497409277064	0.09	0.032	8.76748108542533e-240	c6	MTRNR2L2
4.32051793820191e-226	1.30602441000706	0.122	0.053	8.36927529809092e-222	c6	AHNAK
1.19452319864776e-202	1.8548406639024	0.052	0.015	2.31391088810058e-198	c6	MACF1
9.72439079454205e-167	2.3738614957988	0.033	0.008	1.88371174081074e-162	c6	VCAN
1.10181365341275e-162	2.62098775668778	0.021	0.004	2.13432322802584e-158	c6	RALGPS2
1.06932932538843e-156	0.709375854449779	0.283	0.188	2.07139783620993e-152	c6	PTPRC
2.75413033780428e-139	1.34556022448987	0.067	0.027	5.33502587736068e-135	c6	DDX17
2.01277677641861e-134	1.05387394035939	0.104	0.052	3.89894989360049e-130	c6	CCNL1
2.37026561636882e-131	1.79108304240201	0.039	0.012	4.59144152546804e-127	c6	S100A9
1.0898806477869e-129	1.78299298905376	0.038	0.011	2.11120780282799e-125	c6	S100A8
6.43080631846092e-129	0.796432249787417	0.192	0.119	1.24571149194906e-124	c6	FOSB
1.79364215567477e-117	1.63745752559355	0.037	0.012	3.4744642197576e-113	c6	OGT
1.71931440061022e-115	1.24962831528959	0.063	0.027	3.33048392542206e-111	c6	AKAP13
3.77978392495331e-113	1.67107464045819	0.035	0.011	7.32181944102705e-109	c6	LENG8
1.64265800829799e-110	1.50512071624691	0.042	0.015	3.18199282787405e-106	c6	NKTR
1.59025055839507e-108	1.34908793727527	0.051	0.02	3.08047435666709e-104	c6	ANKRD44
9.72198272855119e-98	2.14200334062908	0.019	0.004	1.88324527434765e-93	c6	KIAA0922
7.69478979102929e-97	2.4649485947756	0.014	0.003	1.49055773042028e-92	c6	TTN
1.24053561892103e-95	1.03412085874077	0.081	0.041	2.40304154741193e-91	c6	RNF213
2.98960908756788e-95	0.992417592771739	0.093	0.05	5.79117176352775e-91	c6	JUND
1.22619894336704e-93	1.32069266373674	0.046	0.019	2.3752699731963e-89	c6	SRRM2
5.17472293919888e-92	1.19411717229256	0.055	0.025	1.00239558055221e-87	c6	CHD2
4.51304641777689e-89	0.985223715243692	0.077	0.039	8.74222221587562e-85	c6	N4BP2L2
5.74308712643094e-88	1.33890815739286	0.042	0.017	1.11249340726094e-83	c6	ZBTB20
1.59266558054142e-87	1.39867287408269	0.046	0.019	3.08515249606678e-83	c6	LYZ
1.72248238434726e-87	1.39089686505482	0.039	0.015	3.33662062671909e-83	c6	TNRC6B
5.44276603592829e-85	0.953415383665744	0.082	0.044	1.05431820881967e-80	c6	RSRP1
4.15270327178029e-84	1.32803383787433	0.042	0.017	8.0442015077656e-80	c6	JMJD1C
5.24564013038537e-84	1.48163506442512	0.033	0.012	1.01613294965695e-79	c6	MYCBP2
8.22395518974647e-84	1.00927493471717	0.071	0.036	1.59306235980579e-79	c6	SFPQ
1.42912244315277e-82	1.0598778343829	0.066	0.033	2.76835308463122e-78	c6	WSB1
3.73592239585443e-82	1.06805659745131	0.061	0.029	7.23685527300961e-78	c6	EML4
1.06630883234305e-81	1.59691078328525	0.027	0.009	2.06554683913173e-77	c6	PLEC
1.49097572555023e-81	1.74804555946907	0.023	0.007	2.88816907796335e-77	c6	ASH1L
3.67248376395111e-81	1.87445786591482	0.02	0.006	7.1139682991497e-77	c6	APLP2
6.43046428684969e-80	1.83515056620382	0.02	0.006	1.24564523700565e-75	c6	MDM4
5.96198708713094e-78	0.878994435145103	0.085	0.047	1.15489651864813e-73	c6	MYH9
2.10266705157794e-77	1.46510184356421	0.032	0.012	4.07307634561163e-73	c6	RANBP2
