p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.42993373921882	0.72	0.244	0	c9	HSPA1B
0	2.01279964290385	0.829	0.36	0	c9	DUSP1
0	2.52783364254813	0.747	0.291	0	c9	HSPA1A
0	1.90781622919187	0.898	0.47	0	c9	JUN
0	2.0193978563488	0.774	0.352	0	c9	DNAJB1
0	1.94566069332884	0.878	0.456	0	c9	FOS
0	2.37016161289686	0.463	0.109	0	c9	FOSB
0	1.81322498391226	0.559	0.233	0	c9	IER2
0	1.85789589048363	0.548	0.222	0	c9	HSP90AA1
0	1.22447941722029	0.836	0.522	0	c9	JUNB
0	2.85166716095253	0.383	0.072	0	c9	EGR1
0	1.33373336665536	0.702	0.407	0	c9	ZFP36
0	1.47495550552709	0.578	0.287	0	c9	HSPA8
0	1.47540522677309	0.536	0.247	0	c9	DUSP2
0	1.71480459155774	0.447	0.163	0	c9	PPP1R15A
0	1.45063526784151	0.566	0.291	0	c9	UBC
0	1.7469493336582	0.427	0.161	0	c9	BTG2
0	1.6604665120517	0.433	0.171	0	c9	HSP90AB1
0	1.45203607409066	0.496	0.234	0	c9	UBB
0	2.03785103760518	0.359	0.104	0	c9	DNAJA1
0	1.17627105653241	0.522	0.289	0	c9	KLF6
0	1.95887801046224	0.318	0.093	0	c9	NR4A1
0	0.97063819058699	0.638	0.424	0	c9	H3F3B
0	1.01597302305294	0.577	0.388	0	c9	CD69
0	1.33049105782136	0.319	0.144	0	c9	SRSF7
0	1.66830045960241	0.249	0.092	0	c9	HSPE1
0	2.31616901775446	0.204	0.047	0	c9	HSPH1
0	1.7615460802274	0.223	0.078	0	c9	TUBA1A
0	1.59325030264656	0.233	0.092	0	c9	RGCC
0	1.96817519544501	0.179	0.056	0	c9	ATF3
0	2.6215992127203	0.121	0.025	0	c9	ZFAND2A
2.48567194969004e-285	1.03511642112417	0.419	0.236	4.81499513374457e-281	c9	NFKBIA
1.18695308605023e-272	2.14612713717113	0.087	0.021	2.2992468229879e-268	c9	NEU1
2.46628986264295e-266	1.56603868901063	0.164	0.059	4.77745009292565e-262	c9	SERTAD1
4.06459069851081e-266	1.73288931099842	0.183	0.071	7.87351864208528e-262	c9	HSPB1
1.32353299858816e-265	1.76878779922031	0.135	0.044	2.56381577156512e-261	c9	CDKN1A
2.01988069656688e-261	1.81029168953987	0.12	0.036	3.91271089731971e-257	c9	HSPD1
2.09990594130649e-260	1.28745345859283	0.265	0.125	4.0677277989048e-256	c9	SAT1
4.94732865562312e-260	0.833941230237096	0.568	0.387	9.58347033880754e-256	c9	TSC22D3
4.18875009084505e-255	0.669352339357219	0.659	0.483	8.11402780097594e-251	c9	EIF1
3.0614070645382e-245	2.01084629467963	0.094	0.026	5.93025162471695e-241	c9	DNAJB4
7.34269615427206e-240	1.79323036064217	0.109	0.033	1.42235367204404e-235	c9	MYADM
3.23800693847099e-234	1.45196853610788	0.208	0.091	6.27234324051215e-230	c9	CITED2
8.47163337213524e-225	2.36447697318811	0.085	0.023	1.64104010051632e-220	c9	HSPA6
3.40548840060778e-213	1.27625947410727	0.193	0.084	6.59677158081733e-209	c9	MCL1
1.20752359757144e-211	1.60091530996254	0.118	0.04	2.33909396085563e-207	c9	DDIT3
2.65766374486766e-205	0.703665479686127	0.537	0.371	5.14816044018314e-201	c9	BTG1
3.38083644223505e-205	1.50694887541126	0.137	0.051	6.54901827225351e-201	c9	TUBB4B
3.94605552103892e-196	1.7922295315761	0.095	0.03	7.64390414980448e-192	c9	LMNA
1.27159283488016e-193	1.25228814967856	0.235	0.118	2.46320248044635e-189	c9	GADD45B
3.19211732645866e-192	0.82147487956619	0.403	0.251	6.18345047308308e-188	c9	CXCR4
3.92018831799866e-182	1.4768442720667	0.141	0.057	7.5937967907952e-178	c9	RGS2
3.98087299638333e-182	1.4401584142303	0.169	0.075	7.71134908129415e-178	c9	TNF
2.23332490356951e-173	2.57589116703201	0.042	0.008	4.3261736707045e-169	c9	BAG3
2.99075542987504e-160	1.13916896929718	0.253	0.14	5.79339234321095e-156	c9	ANXA1
6.07007033605227e-156	1.36004540400066	0.124	0.05	1.17583332479669e-151	c9	JUND
7.8143741477735e-154	0.703236299013512	0.449	0.309	1.5137224161652e-149	c9	ZFP36L2
9.07049859120607e-151	0.923994125809665	0.333	0.208	1.75704628210253e-146	c9	TNFAIP3
2.48744564832123e-143	1.53687099275544	0.086	0.03	4.81843096536305e-139	c9	LOC284454
1.46396927011335e-134	1.09182653470717	0.16	0.077	2.83585487313658e-130	c9	CYCS
5.29916749660026e-128	0.729295873532871	0.481	0.36	1.02650173576644e-123	c9	FTL
9.19601246667576e-122	1.30816356218258	0.124	0.056	1.78135957491976e-117	c9	RHOB
2.91953685970213e-113	1.2214784037699	0.107	0.046	5.65543485092899e-109	c9	CSRNP1
1.6150921782364e-110	1.22280430857753	0.121	0.056	3.12859505846173e-106	c9	SQSTM1
1.20309973466436e-108	1.2169402084812	0.11	0.049	2.33052449601833e-104	c9	NFKBIZ
2.21683273665853e-107	3.73199797205268	0.01	0.001	4.29422669418124e-103	c9	TPSB2
4.39863332984385e-107	1.70576751939183	0.054	0.017	8.52059262324053e-103	c9	MRPL18
3.23204353481744e-106	1.02490377501195	0.141	0.07	6.26079153129487e-102	c9	SRSF3
6.31604438057283e-104	1.37111833560306	0.085	0.035	1.22348095696076e-99	c9	CACYBP
3.59148967521039e-102	1.05624407985856	0.131	0.064	6.95707464985006e-98	c9	YPEL5
8.4482687712985e-102	3.79732721726566	0.009	0.001	1.63651414368823e-97	c9	TPSAB1
4.49472765709865e-101	4.11532532789579	0.009	0.001	8.7067369445658e-97	c9	CPA3
2.10712901929885e-100	1.1727798755073	0.127	0.063	4.0817196232838e-96	c9	PHLDA1
1.3746592392659e-94	1.23064763802563	0.089	0.039	2.66285241238198e-90	c9	DDX3X
1.08132743301022e-93	1.17823355580182	0.113	0.054	2.09463937048409e-89	c9	NEAT1
3.00003772384906e-91	3.81892462912073	0.008	0.001	5.81137307486801e-87	c9	TPSD1
4.57875181699362e-91	0.455082924682474	0.537	0.423	8.86950014469835e-87	c9	FTH1
1.76722199395595e-90	2.70926066986655	0.019	0.003	3.42328572449207e-86	c9	SERPINH1
7.37694312641735e-89	1.48277172946744	0.063	0.024	1.42898765301831e-84	c9	ODC1
3.44790235922826e-88	0.884460643907174	0.168	0.095	6.67893166006105e-84	c9	TAGAP
6.13165223016035e-88	3.76133455066954	0.007	0	1.18776235350436e-83	c9	MS4A2
6.25239852606461e-81	1.33614361373413	0.065	0.026	1.21115211848397e-76	c9	H2AFX
3.24725868310746e-79	0.679711694693633	0.232	0.149	6.29026479504747e-75	c9	PNRC1
3.31374623993593e-77	1.50032398509515	0.055	0.021	6.41905784137989e-73	c9	TMEM107
1.9441071186606e-76	1.26160262876576	0.062	0.025	3.76592989955745e-72	c9	IER3
4.16203264976473e-76	2.34390502501365	0.023	0.005	8.06227344585927e-72	c9	KLF4
9.96833033394945e-75	1.00627752664218	0.12	0.064	1.93096526898935e-70	c9	KLF2
8.357581175005e-74	1.3967026275598	0.055	0.022	1.61894704941022e-69	c9	IFRD1
8.0492425548637e-73	1.01677771865086	0.105	0.054	1.55921877530265e-68	c9	CCNL1
1.18617523182172e-72	1.01414989257974	0.107	0.056	2.29774004156185e-68	c9	KMT2E-AS1
3.41499621015449e-72	2.07633038953007	0.025	0.006	6.61518915869026e-68	c9	IER5
2.46158977764757e-69	4.2071473200271	0.005	0	4.76834555828111e-65	c9	HDC
6.78872949590356e-69	1.02283530575107	0.101	0.052	1.31504479065148e-64	c9	BRD2
3.6207323511229e-68	3.70246489671899	0.006	0	7.01372063736017e-64	c9	HPGDS
9.61380409320179e-66	0.898961463629943	0.123	0.069	1.86228999089412e-61	c9	SOCS1
7.2879688924058e-65	1.10814341066987	0.078	0.037	1.41175245414793e-60	c9	H3F3C
2.71490599004552e-61	0.974901171506696	0.09	0.046	5.25904439331718e-57	c9	CLK1
1.35414985748408e-60	1.78602623581087	0.029	0.009	2.62312368893241e-56	c9	DUSP6
3.17536398464999e-60	1.43209877066495	0.042	0.016	6.1509975746655e-56	c9	EIF4A3
6.75299312966699e-60	0.740694347140943	0.176	0.112	1.30812229914779e-55	c9	SLC2A3
8.83678768264547e-59	0.593873476205657	0.108	0.059	1.71177414200525e-54	c9	TUBA1B
2.24466215161089e-56	0.506956597309247	0.375	0.293	4.34813505388546e-52	c9	VIM
1.28483059081611e-53	0.649218428950991	0.174	0.113	2.48884533746988e-49	c9	ZFAS1
8.79821085516226e-53	0.775132888903786	0.118	0.07	1.70430142475348e-48	c9	SRSF2
1.07364269259552e-52	0.727825670131126	0.139	0.086	2.07975325982678e-48	c9	SRSF5
1.27668317208795e-51	1.1339740775737	0.068	0.034	2.47306297265156e-47	c9	CKS2
2.28588150988957e-51	3.50420074627543	0.006	0.001	4.42798107280709e-47	c9	VWA5A
8.25927278112273e-51	0.550860788577162	0.264	0.193	1.59990373043128e-46	c9	RGS1
1.37414114239296e-50	3.48753529261116	0.006	0.001	2.6618488069294e-46	c9	IL1RL1
7.36403487736019e-50	0.981729409918429	0.075	0.039	1.42648719609344e-45	c9	TRA2B
1.19051712078337e-49	4.03931469754603	0.004	0	2.30615071466946e-45	c9	ANKRD36BP2
1.5426250279272e-49	1.38685734264199	0.037	0.014	2.98821894159777e-45	c9	TUBA1C
