Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Parkinson disease	73/249	1.41737247529272e-36	3.99699038032548e-34	0	0	8.5286510023819	703.991173506338	COX7B;NDUFA13;NDUFA11;NDUFA12;UBE2L6;PARK7;COX6A1;UBE2L3;PSMD8;PSMD4;UQCRFS1;PRKACB;COX8A;DAXX;TUBB;SDHD;SDHA;TUBA4A;COX6B1;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;VDAC3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB6;NDUFB11;PSMD13;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB2;UBB;PSMB3;PSMB1;CYC1;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;HSPA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;BAX;CALM3;CALM1;CALM2
Prion disease	72/273	8.97568764146156e-33	1.26557195744608e-30	0	0	7.34777584270577	542.19817330096	COX7B;NDUFA13;NDUFA11;NDUFA12;PIK3CD;COX6A1;PSMD8;PSMD4;RAC2;UQCRFS1;PRKACB;COX8A;TUBB;CYBA;SDHD;SDHA;TUBA4A;COX6B1;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CSNK2B;VDAC3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB6;NDUFB11;PSMD13;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB2;PSMB3;CCL5;PSMB1;MAPK1;FYN;CYC1;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;HSPA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;BAX
Huntington disease	72/306	2.38691910934863e-29	2.24370396278771e-27	0	0	6.30047814780639	415.232787013751	COX7B;NDUFA13;NDUFA11;NDUFA12;CLTA;COX6A1;PSMD8;ACTR1A;PSMD4;UQCRFS1;AP2M1;COX8A;TUBB;SDHD;SDHA;TUBA4A;COX6B1;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;VDAC3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB6;NDUFB11;PSMD13;HDAC1;NDUFB4;DCTN3;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB2;PSMB3;PSMB1;POLR2E;POLR2G;CYC1;NDUFV1;POLR2J;POLR2L;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;BAX
Amyotrophic lateral sclerosis	76/364	2.59684949048614e-27	1.83077889079273e-25	0	0	5.41160094925155	331.273849980826	COX7B;NDUFA13;NDUFA11;NDUFA12;COX6A1;ACTB;ACTG1;PSMD8;ACTR1A;PSMD4;UQCRFS1;SPG11;COX8A;DAXX;GABARAPL1;TUBB;SDHD;SDHA;TUBA4A;COX6B1;TNFRSF1A;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;MATR3;PFN1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB6;NDUFB11;PSMD13;NDUFB4;DCTN3;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB2;PSMB3;PSMB1;CYC1;NDUFV1;NDUFA9;NDUFA8;HNRNPA3;NDUFA7;NDUFA6;HSPA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;CHCHD10;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;HNRNPA2B1;BAX
Oxidative phosphorylation	46/133	6.43285664971522e-27	3.08134909488291e-25	0	0	10.6105971404542	639.907911664484	NDUFB9;NDUFA13;COX7B;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;ATP6V0E2;NDUFV1;ATP6V1F;COX8A;NDUFA9;NDUFA8;NDUFA7;ATP6V0E1;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SDHD;SDHA;COX6C;UQCRHL;COX6B1;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFS5;ATP6V0D1
Alzheimer disease	76/369	6.5560619040062e-27	3.08134909488291e-25	0	0	5.31783229723112	320.608957893371	COX7B;NDUFA13;CSF1;NDUFA11;NDUFA12;ATP2A3;PIK3CD;COX6A1;PSMD8;PSMD4;UQCRFS1;CAPN1;COX8A;PSENEN;TUBB;SDHD;SDHA;TUBA4A;COX6B1;TNFRSF1A;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CSNK2B;VDAC3;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB10;PSMD14;NDUFB6;NDUFB11;PSMD13;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;APH1A;PSMB6;PSMB2;PSMB3;PSMB1;MAPK1;CYC1;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;CALM3;KRAS;CALM1;CALM2
Non-alcoholic fatty liver disease	48/155	1.36978643174794e-25	5.51828248218458e-24	0	0	9.01200750841717	515.937181904097	NDUFB9;NDUFA13;COX7B;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;PIK3CD;COX7A2;FASLG;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;CDC42;MLX;UQCRFS1;CYC1;NDUFV1;COX8A;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SDHD;SDHA;COX6C;UQCRHL;COX6B1;TNFRSF1A;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFS5;BAX
Pathways of neurodegeneration	85/475	1.65322487488827e-25	5.82761768398114e-24	0	0	4.48940605854323	256.174037214152	COX7B;NDUFA13;CSF1;NDUFA11;NDUFA12;ATP2A3;FASLG;UBE2L6;PARK7;COX6A1;UBE2L3;PSMD8;ACTR1A;PSMD4;UQCRFS1;CAPN1;SPG11;COX8A;DAXX;GABARAPL1;TUBB;SDHD;SDHA;TUBA4A;TNFRSF1A;COX6B1;PSMA5;PSMA6;PSMA4;NDUFS8;PSMA1;NDUFS7;PSMA2;NDUFS6;NDUFS5;CSNK2B;VDAC3;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB10;PSMD14;NDUFB11;PSMD13;NDUFB4;NDUFB3;DCTN3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;PSMA7;UQCRH;PSMB6;PSMB2;UBB;PSMB3;PSMB1;MAPK1;BAK1;CYC1;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;HSPA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;UQCRHL;PSMC3;PSMC4;UQCRQ;BAX;CALM3;KRAS;CALM1;CALM2
Diabetic cardiomyopathy	52/203	2.51974540002348e-23	7.8952022534069e-22	0	0	6.93152021033735	360.683728569934	COX7B;NDUFA13;NDUFA11;NDUFA12;ATP2A3;PIK3CD;COX6A1;MPC1;RAC2;UQCRFS1;CTSD;COX8A;G6PD;CYBA;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;VDAC3;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRHL;PPP1CA;UQCRQ
Thermogenesis	53/232	2.94321760826718e-21	8.29987365531346e-20	0	0	5.95721720861386	281.626154070091	COX7B;NDUFA13;NDUFA11;NDUFA12;COX6A1;ACTB;ACTG1;RPS6KA1;UQCRFS1;PRKACB;COX8A;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;COX14;CYC1;SLC25A20;NDUFV1;NDUFA9;COA3;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRHL;UQCRQ;RPS6KB2;NDUFAF3;KRAS;COX20
