Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	54/200	2.20949488850696e-25	1.08265249536841e-23	0	0	7.46253021756648	423.661746075441	GPI;COX7B;ACAA2;MRPS12;ETFA;ETFB;COX6A1;MPC1;UQCRFS1;COX8A;ATP6V0E1;ECH1;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;VDAC3;SUCLG1;NDUFB8;NDUFB7;NDUFB6;MGST3;NDUFB4;NDUFB3;NDUFB2;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;CYB5R3;CYC1;SLC25A20;NDUFV1;DECR1;ATP6V1F;NDUFA9;TIMM8B;NDUFA8;NDUFA7;NDUFA6;MDH1;MDH2;NDUFA4;NDUFA3;IDH2;NDUFA2;NDUFA1;COX6C;UQCRQ;BAX
Allograft Rejection	49/200	3.84057562056895e-21	9.40941027039392e-20	0	0	6.51077920247992	306.063036441149	CSF1;GPR65;ITGB2;PRF1;CD3G;FASLG;CD3E;ITGAL;CD3D;CCND2;SIT1;B2M;CD96;TAP2;TAP1;IL16;HLA-A;HLA-G;TAPBP;NCR1;ZAP70;CD8B;IFNG;CD8A;LCK;HCLS1;LCP2;CD47;WAS;CAPG;IL2RG;PSMB10;HLA-DMA;CCL5;ST8SIA4;FLNA;CSK;GZMA;CRTAM;GZMB;CD2;PTPRC;BCL3;CD7;IL2RB;UBE2N;KLRD1;PTPN6;CD247
Interferon Gamma Response	46/200	9.66396801628844e-19	1.57844810932711e-17	0	0	5.97307570478302	247.767435664218	IFITM3;IFITM2;UBE2L6;IFI35;SRI;PSMB10;OASL;MT2A;HLA-DMA;RNF213;KLRK1;PSMB2;CCL5;CASP4;ST8SIA4;SLAMF7;CD38;ITGB7;B2M;VCAM1;GZMA;TAP1;TRAFD1;ISG15;HLA-A;BPGM;HLA-G;PSMB8;PSMB9;TAPBP;BST2;VAMP8;ISG20;PLSCR1;PSMA2;IRF2;IL2RB;PSME1;PSME2;XCL1;LCP2;PTPN6;RBCK1;VAMP5;IRF9;LY6E
Myc Targets V1	38/200	6.63705413484048e-13	8.13039131517959e-12	0	0	4.64918020017915	130.367373736006	HDDC2;SET;PSMD14;PHB;COX5A;PSMA7;UBE2L3;SRM;PSMD8;PSMB2;SNRPD1;PSMB3;PCBP1;PGK1;SNRPB2;SNRPD3;CYC1;BUB3;TXNL4A;KPNA2;HNRNPA3;PTGES3;PA2G4;LSM2;PSMA6;LSM7;PSMA4;PSMA1;PSMA2;PSMC4;HNRNPA2B1;SERBP1;VDAC3;SNRPG;ERH;MCM5;SSBP1;PPIA
Interferon Alpha Response	24/97	3.80562910452613e-11	3.72951652243561e-10	0	0	6.45201220810561	154.796384678865	IFITM3;IFITM1;IFITM2;CSF1;TAP1;HLA-C;TRAFD1;UBE2L6;ISG15;IFI35;PARP9;PSMB8;OASL;PSMB9;BST2;ISG20;PLSCR1;IRF2;PSME1;PSME2;CD47;B2M;IRF9;LY6E
PI3K/AKT/mTOR  Signaling	21/105	3.73016733088895e-08	3.04630332022597e-07	0	0	4.88817148760331	83.6083979185266	ACTR3;ACTR2;ARF1;YWHAB;FASLG;IL2RG;HSP90B1;TNFRSF1A;PPP1CA;ARPC3;LCK;ARHGDIA;RPS6KA1;CFL1;CSNK2B;UBE2N;PIN1;MAPK1;CALR;PFN1;AP2M1
mTORC1 Signaling	27/200	2.10343412465465e-06	1.47240388725825e-05	0	0	3.05616910819223	39.9500569243652	GPI;PSMD14;PSMD13;ITGB2;ARPC5L;CORO1A;HSP90B1;SLC9A3R1;EBP;PGK1;SEC11A;CTSC;ACTR3;ACTR2;G6PD;TPI1;SDF2L1;HSPA5;PDAP1;TUBA4A;PSMA4;PSMC4;CD9;CALR;ALDOA;PPIA;GAPDH
DNA Repair	22/150	4.67593055167404e-06	2.86400746290035e-05	0	0	3.35627262150982	41.191810328369	BCAP31;ARL6IP1;MPG;POLR3GL;USP11;ADRM1;SUPT4H1;EDF1;RBX1;NT5C;DGUOK;POLD4;NUDT21;ZNRD1;GUK1;DAD1;POLR2E;HCLS1;POLR2G;NELFCD;POLR2J;VPS28
Complement	25/200	1.93003609119942e-05	0.00010507974274308	0	0	2.7913455838767	30.3011358997311	PLEK;WAS;CBLB;PPP4C;GNGT2;GNG2;CCL5;CASP4;FYN;CTSD;CTSC;APOBEC3G;HSPA5;GZMA;ANXA5;GZMB;PSMB9;GZMK;PLSCR1;LCK;IRF2;CALM3;LCP2;PFN1;CALM1
Adipogenesis	22/200	0.000384498451196799	0.00188404241086431	0	0	2.40710874591869	18.9284700399066	COX8A;COX7B;ACAA2;NDUFB7;MDH2;MGST3;ECH1;CHCHD10;UQCR11;GHITM;UQCR10;ETFB;COX6A1;DHRS7;SCP2;REEP5;UQCRQ;STOM;SUCLG1;CYC1;ALDOA;DECR1
