p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.79493611300394	0.944	0.519	0	g11	RNR1
0	2.11087702972112	0.975	0.801	0	g11	RNR2
1.10908937881623e-269	1.00979261875416	0.905	0.788	2.14841703570493e-265	g11	COX1
4.77714053022274e-241	1.38765397320997	0.596	0.35	9.25379892109447e-237	g11	ND4
1.01931434786678e-239	2.65509119599015	0.147	0.032	1.97451382325273e-235	g11	MTRNR2L2
1.93648023206368e-236	1.23399807281197	0.711	0.486	3.75115585753056e-232	g11	ND4L
1.60812414965927e-232	0.880239639022678	0.92	0.823	3.11509729030498e-228	g11	COX2
1.13585817648011e-216	1.03235978521965	0.797	0.61	2.20027087365962e-212	g11	ATP6
1.61411138221638e-204	1.09731689625234	0.723	0.511	3.12669515849136e-200	g11	ATP8
5.19278552246558e-189	1.17228665634817	0.668	0.461	1.00589448355681e-184	g11	CYTB
8.02327618877108e-174	1.0724345879517	0.7	0.498	1.55418883052685e-169	g11	COX3
2.0091230767107e-173	0.95492842083991	0.788	0.653	3.89187231189629e-169	g11	ND3
4.84413951320182e-159	1.25388052965635	0.447	0.249	9.38358265102324e-155	g11	ND1
9.16714199971473e-158	1.24729566875945	0.409	0.213	1.77576707676474e-153	g11	ND5
1.66986522629747e-140	1.21389745015188	0.402	0.22	3.23469592986082e-136	g11	ND2
1.98763724271303e-102	0.556236345619539	0.935	0.894	3.85025210285942e-98	g11	MALAT1
2.50146937148857e-97	2.62946770326416	0.06	0.013	4.84559631951051e-93	g11	MTRNR2L8
4.24377458569567e-57	1.30987225763076	0.127	0.057	8.22061574995107e-53	g11	ND6
1.11009016422656e-43	1.42337723271909	0.094	0.041	2.15035565712326e-39	g11	RNA45S5
1.54264300435866e-43	2.35545839807256	0.03	0.007	2.98825376374316e-39	g11	RMRP
4.46906130230546e-41	0.615771864511936	0.324	0.222	8.65701864869592e-37	g11	PTPRC
6.50654451606784e-37	0.238764961870002	0.588	0.442	1.2603827382075e-32	g11	NKG7
4.82146929835924e-32	0.204685365222796	0.757	0.607	9.33966817785168e-28	g11	CCL5
1.84492057952045e-31	0.559458660835966	0.293	0.205	3.57379565458906e-27	g11	CD8A
4.32117618627486e-29	0.919873701570617	0.104	0.055	8.37055039043303e-25	g11	AHNAK
1.6262947648028e-28	0.34022060875382	0.397	0.299	3.15029558889951e-24	g11	GZMA
1.98922059773691e-27	2.67611665782501	0.011	0.002	3.85331921987617e-23	g11	MTRNR2L1
5.866474516088e-26	0.931527339819216	0.093	0.049	1.13639477851141e-21	g11	RNF213
9.51874167843166e-26	1.35249227227675	0.043	0.017	1.843875450529e-21	g11	MACF1
5.02613410022397e-22	0.937753973519019	0.083	0.045	9.73612436554385e-18	g11	FLNA
5.1256323473588e-20	1.08067444022677	0.051	0.024	9.92886242006872e-16	g11	IKZF3
3.22602610520418e-19	0.349096989240122	0.28	0.207	6.24913516839102e-15	g11	GZMH
2.32699768505207e-17	0.504318626147554	0.226	0.168	4.50762721571436e-13	g11	GZMK
2.71893088318904e-17	1.28576585601498	0.032	0.013	5.26684101382549e-13	g11	OGT
3.70864681645185e-17	1.10147434236778	0.046	0.023	7.18401974814889e-13	g11	HIST1H1E
3.81231709728773e-17	1.18835600155446	0.037	0.016	7.38483944915606e-13	g11	SYNE1
1.44331464343036e-16	1.34817401228249	0.031	0.013	2.79584479578895e-12	g11	XIST
1.71314794056085e-16	6.67047009468387	0.001	0	3.31853887566043e-12	g11	ASIP
1.71314794056085e-16	6.67047009468387	0.001	0	3.31853887566043e-12	g11	LOC102723405
1.71314794056085e-16	6.67047009468387	0.001	0	3.31853887566043e-12	g11	SNORA29
1.71314794056085e-16	6.67047009468387	0.001	0	3.31853887566043e-12	g11	AIRN
1.19474072559697e-15	0.442811826563752	0.184	0.132	2.31433225955389e-11	g11	PRF1
3.44639891863583e-15	0.776307803918272	0.075	0.044	6.67601934528946e-11	g11	ITGA4
1.78035360892488e-14	0.697538337882039	0.09	0.057	3.44872297584839e-10	g11	MYH9
2.10311600291992e-14	0.8042616986291	0.068	0.04	4.07394600925618e-10	g11	SYNE2
3.03156598997634e-13	0.350558676990003	0.331	0.273	5.87244647918318e-09	g11	HLA-H
4.17874352514583e-13	1.27227610556844	0.024	0.01	8.09464408255999e-09	g11	ATP8A1
3.16709875664464e-12	0.202612132495259	0.408	0.339	6.13498700149633e-08	g11	CST7
4.31219764089257e-12	5.08550759396271	0.001	0	8.35315805017299e-08	g11	LOC102723373
5.1996982144489e-12	0.541490196773715	0.126	0.089	1.0072335411209e-07	g11	CLDND1
9.2988230205808e-12	0.859439514482866	0.047	0.026	1.80127500731671e-07	g11	AOAH
9.60510712953134e-12	4.08550759396271	0.002	0	1.86060530206152e-07	g11	BRIP1
2.3171391205693e-11	0.72367983259844	0.064	0.039	4.48853019045478e-07	g11	CBLB
3.74405023935078e-11	2.01839339810417	0.007	0.002	7.25259971864641e-07	g11	HIST1H4F
8.62567387929314e-11	1.23942027741639	0.021	0.009	1.67087928715787e-06	g11	SETX
1.15224964242862e-10	0.812967526037513	0.063	0.039	2.23202278234849e-06	g11	GeneID:102723863
1.38136203322528e-10	1.11844148332479	0.024	0.011	2.6758363945607e-06	g11	SMG1
1.72204729579996e-10	0.609026200459442	0.085	0.057	3.3357778166941e-06	g11	PIK3R1
1.72591032256829e-10	1.4376308859123	0.014	0.005	3.34326088584703e-06	g11	DTHD1
1.8534182302287e-10	2.03488152089274	0.007	0.002	3.59025645377602e-06	g11	SCARNA17
2.18264143327649e-10	4.76357949907535	0.001	0	4.22799472039988e-06	g11	POMK
2.36200087154381e-10	2.98117093414798	0.003	0	4.57543188826751e-06	g11	LOC100190986
3.47297739657384e-10	1.2861014250206	0.018	0.007	6.72750451490319e-06	g11	PARP15
3.50993299514361e-10	0.950098474220903	0.032	0.017	6.79909120489269e-06	g11	AKAP9
4.43784587779315e-10	1.12411904323269	0.024	0.011	8.59655124987311e-06	g11	ATP2B4
5.02003326476293e-10	0.750008303183796	0.054	0.033	9.72430643717228e-06	g11	KLRC4
5.07482589743509e-10	0.234093428147405	0.264	0.213	9.83044524592152e-06	g11	CTSW
5.83179758702824e-10	1.15289443369259	0.021	0.01	1.12967751058324e-05	g11	SYTL2
8.56034177193679e-10	1.66596870244893	0.01	0.003	1.65822380464188e-05	g11	NPC1
1.56611052729463e-09	0.726257872869614	0.049	0.03	3.03371270242242e-05	g11	AKAP13
1.80713812832578e-09	0.55131893399842	0.084	0.057	3.50060726837986e-05	g11	FYN
1.90107292750081e-09	1.3144488011281	0.015	0.006	3.68256836786183e-05	g11	TTC17
2.00316644791505e-09	1.60925135268406	0.01	0.003	3.88033372625625e-05	g11	ANKRD36C
2.04293555536744e-09	1.75804131553392	0.009	0.003	3.95737046430227e-05	g11	ZNF266
2.12830938332058e-09	1.03488152089274	0.026	0.013	4.1227481064303e-05	g11	UTRN
2.58065641068887e-09	1.18377870346997	0.019	0.008	4.99898953314541e-05	g11	PRKDC
2.62792599727409e-09	0.774160980897197	0.044	0.026	5.09055544931965e-05	g11	SAMD3
3.17957791708384e-09	0.806477457513063	0.043	0.025	6.15916038318312e-05	g11	AKNA
4.17074405594703e-09	4.50054509324156	0.001	0	8.07914831077498e-05	g11	LOC101928946
4.17074405594703e-09	4.50054509324156	0.001	0	8.07914831077498e-05	g11	CLEC4C
4.17074405594703e-09	4.50054509324156	0.001	0	8.07914831077498e-05	g11	LOC100133331
4.62029697229302e-09	3.13131128357584	0.002	0	8.94997726502881e-05	g11	TCTE3
5.03768010393521e-09	0.592113979557254	0.07	0.047	9.7584901293329e-05	g11	KLRG1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101930531
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101929165
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	SYT5
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101929231
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	GPM6A
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LRRC37A3
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC283693
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	PROX1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	RHOBTB1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	UNC5B
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	RGS6
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	SPINK4
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	PIP5KL1
5.64518859119163e-09	6.67047009468387	0	0	0.000109352948199973	g11	CHRNA7
5.64518859119163e-09	7.67047009468387	0	0	0.000109352948199973	g11	PLA2G2A
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	EPHB2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	B4GALT2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	BNIPL
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	CHRM3
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	POLR3G
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	SH3RF2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	ZNF660
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FLJ42393
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FAM157A
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	TNFRSF19
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	AIFM3
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	AKR1C1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	SMOC2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101929911
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	CPA6
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	ANXA13
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	CEMIP
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	KIF5A
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LGR5
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC102723861
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	DIRAS2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	ASB16
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	AKR1C2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	TBX20
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FAM72D
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101927241
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC414300
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC102724810
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	KLK14
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FITM1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC101060391
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC102724099
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	COL11A2
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FAM166A
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	PLEKHD1
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	FLJ46836
5.64518859119163e-09	6.08550759396271	0	0	0.000109352948199973	g11	LOC100129516
6.03063328269546e-09	1.19798232322112	0.018	0.008	0.000116819397319094	g11	LRBA
7.87930269248303e-09	3.94800407021278	0.001	0	0.000152629972456089	g11	ZNF785
1.11399953899649e-08	1.11991252761566	0.02	0.01	0.00021579285069901	g11	BIRC6
1.55446586790693e-08	5.08550759396271	0.001	0	0.000301115583272251	g11	TAS2R31
1.55446586790693e-08	5.08550759396271	0.001	0	0.000301115583272251	g11	SPDYA
1.6223762063166e-08	1.02360246344409	0.023	0.011	0.000314270494925589	g11	BTN3A1
1.76960417084593e-08	1.25318014367364	0.015	0.006	0.000342790023934564	g11	PCF11
2.26851934702003e-08	3.50054509324156	0.002	0	0.00043943488271125	g11	C16orf52
2.4887801994373e-08	1.75108855489215	0.008	0.002	0.000482101612432999	g11	NHLRC3
4.18669855296033e-08	0.282224103139026	0.207	0.167	0.000811005376693946	g11	CD8B
5.64414722768617e-08	1.29944745026834	0.013	0.005	0.00109332775947509	g11	NLRC3
6.39066712570437e-08	0.504779382753451	0.092	0.067	0.00123793612892019	g11	KLRC2
6.67640024564048e-08	0.153753146182769	0.755	0.737	0.00129328549158302	g11	HLA-A
1.0461270506161e-07	0.893151546381072	0.026	0.014	0.00202645270974844	g11	VPS13C
1.0811099789826e-07	3.70699597070898	0.001	0	0.0020942181402872	g11	ZNF784
1.40537190339475e-07	1.01076701364748	0.022	0.011	0.00272234591406597	g11	LENG8
2.3703032524785e-07	1.59900773212724	0.008	0.003	0.0045915144303761	g11	VPS13B
2.37103634846863e-07	2.09844664967021	0.004	0.001	0.00459293451061858	g11	SMA5
2.59106224432361e-07	0.70065190873729	0.041	0.025	0.00501914667347926	g11	SMCHD1
2.8728592886692e-07	1.06484812339662	0.018	0.009	0.00556501572808112	g11	GLG1
3.04112211439261e-07	1.14481878990413	0.015	0.007	0.00589095764778993	g11	RICTOR
3.12856211479543e-07	1.1082276704628	0.016	0.008	0.00606033767257023	g11	ASH1L
3.96477282147837e-07	0.968150643324553	0.02	0.01	0.00768016143248575	g11	MYBL1
3.98077033305876e-07	0.819613533989677	0.029	0.016	0.00771115021216812	g11	MGEA5
4.35619219007505e-07	0.396495223019433	0.128	0.1	0.00843837989139438	g11	LCP1
4.9487397053787e-07	2.76357949907535	0.002	0	0.00958620368328908	g11	LINC00921
5.05451765598038e-07	1.26391074932933	0.012	0.005	0.00979110615139959	g11	PRKAR2A
5.2521899521349e-07	0.898121622454177	0.024	0.013	0.0101740171562805	g11	DYNC1H1
5.55912722509444e-07	1.98117093414798	0.005	0.001	0.0107685853477304	g11	ZRANB1
6.13375157246769e-07	0.616561392899965	0.053	0.035	0.0118816901710272	g11	TC2N
6.30427217367923e-07	4.67047009468387	0.001	0	0.012212005627634	g11	RPL21P44
6.30427217367923e-07	4.67047009468387	0.001	0	0.012212005627634	g11	ZNF469
6.30427217367923e-07	4.67047009468387	0.001	0	0.012212005627634	g11	MYO5B
6.30427217367923e-07	4.67047009468387	0.001	0	0.012212005627634	g11	SCAMP5
6.43107053831554e-07	0.501416549046301	0.07	0.05	0.012457626739771	g11	PARP8
6.55262874796454e-07	2.31612052210413	0.003	0.001	0.0126930971476821	g11	DNAJC16
7.13426163945715e-07	1.08359039096842	0.016	0.008	0.0138197782217924	g11	HUWE1
