p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	4.88949927340832	0.026	0.001	0	CLEC10A	c12
0	4.78179812519147	0.027	0.001	0	FCER1A	c12
0	3.41899947290006	0.191	0.023	0	CST3	c12
0	3.25046578998551	0.27	0.045	0	AREG	c12
0	3.14302366110432	0.063	0.006	0	IL1B	c12
0	3.11066263420176	0.079	0.009	0	MS4A6A	c12
0	3.0717594184205	0.154	0.017	0	LYZ	c12
0	2.96637933484653	0.07	0.007	0	CXCL8	c12
0	2.9212265258659	0.113	0.014	0	IFI30	c12
0	2.44269964412955	0.31	0.07	0	CCL3	c12
0	2.24547081189189	0.212	0.056	0	GPX1	c12
4.68287952730516e-295	1.68353218332792	0.518	0.271	9.7244676264019e-291	CD74	c12
1.4541742445334e-288	2.37351658121188	0.13	0.027	3.01973823619806e-284	HLA-DQB1	c12
6.37890129982945e-282	2.79922298694057	0.079	0.011	1.32464264392258e-277	AIF1	c12
9.90508965685229e-250	3.81728443502963	0.032	0.002	2.05689091814195e-245	C15orf48	c12
2.65204539809156e-248	1.78280911054287	0.183	0.054	5.50723747367693e-244	TYROBP	c12
1.45667357959112e-235	3.34684983957217	0.047	0.005	3.02492835537893e-231	CXCL2	c12
1.41552335863944e-228	3.16545679970873	0.047	0.005	2.93947580655067e-224	PLAUR	c12
4.18501620267353e-210	-0.477061407708803	0.882	0.941	8.69060464647186e-206	RPS27	c12
1.69767437713752e-204	4.65371153820386	0.019	0.001	3.52539061156378e-200	CD1C	c12
1.62378749825029e-191	-0.650557442853769	0.65	0.792	3.37195711886655e-187	RPS3	c12
4.30104478576493e-184	2.76025686773278	0.066	0.012	8.93154960211946e-180	S100A8	c12
1.72423634802243e-179	5.26520562167414	0.011	0	3.58054920030338e-175	CD1E	c12
1.15619821654562e-175	2.59273129723281	0.066	0.012	2.40096121647864e-171	S100A9	c12
1.81080529872964e-173	1.26121900900715	0.283	0.128	3.76031828334196e-169	S100A11	c12
6.34323250567543e-173	1.04545920896009	0.615	0.428	1.31723566212856e-168	FTH1	c12
2.20119699190525e-170	-0.690673493878508	0.8	0.89	4.57100567339044e-166	MALAT1	c12
1.3948562453507e-165	2.18270325443126	0.083	0.019	2.89655847909527e-161	HLA-DRB1	c12
2.79370679059332e-162	1.11157964205098	0.435	0.256	5.80141152134609e-158	S100A6	c12
3.63589072975739e-161	1.3827088293538	0.256	0.115	7.55029068941419e-157	LGALS1	c12
1.20749632344434e-154	-0.541522754323985	0.746	0.838	2.50748686526452e-150	RPL30	c12
2.10875059750608e-150	2.73595844862318	0.046	0.007	4.37903149078113e-146	FCN1	c12
8.83505545210296e-147	-0.584848093996011	0.81	0.878	1.8346876151837e-142	EEF1A1	c12
2.92995253235066e-146	2.92534098098148	0.035	0.004	6.08433942867937e-142	G0S2	c12
4.15191322994867e-144	1.40021219474171	0.438	0.276	8.62186301331141e-140	CRIP1	c12
3.08401965827516e-143	2.09041650557397	0.077	0.018	6.40427522237419e-139	NPC2	c12
2.09381891415083e-141	-0.590628328088543	0.636	0.762	4.3480243571256e-137	RPS27A	c12
2.93610683473793e-135	3.45347225910596	0.024	0.002	6.09711945301679e-131	CXCL16	c12
3.50247646220186e-135	-0.529891086486445	0.802	0.867	7.27324262140839e-131	RPS12	c12
9.16155767390586e-132	1.05260675832899	0.46	0.299	1.90248906656329e-127	VIM	c12
4.14893592504321e-130	-0.443347922992309	0.792	0.865	8.61568034194473e-126	RPS15A	c12
8.41478480272913e-129	3.30867947486147	0.025	0.002	1.74741421213473e-124	CSTA	c12
