Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	18/78	2.77190656280647e-19	5.65468938812519e-17	29.583	1264.06920636771	CD74;HSPA5;IFNG;HLA-DQB1;KLRD1;CALR;TNF;KIR2DL4;HLA-C;HLA-A;CD8A;LGMN;HLA-DRB4;HLA-DRB1;IFI30;KLRC1;KLRC2;HLA-DMA	1	KEGG_2021_Human
Graft-versus-host disease	14/42	8.86173146338198e-18	9.03896609264962e-16	48.4166666666667	1901.07022513301	GZMB;HLA-C;HLA-A;IL1B;IFNG;HLA-DQB1;KLRD1;HLA-DRB4;HLA-DRB1;PRF1;TNF;FASLG;KLRC1;HLA-DMA	2	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	17/100	6.91329449715689e-16	4.70104025806668e-14	20.0733081580052	700.717338789747	CXCL13;CSF1;TNF;TNFSF14;CSF1R;CCL4L1;CCL4L2;XCL1;XCL2;CXCL8;CCL3L1;CXCL2;CXCL3;CCL5;CCL4;CCL3;CCL2	3	KEGG_2021_Human
Cytokine-cytokine receptor interaction	25/295	2.09815436464735e-15	1.07005872597015e-13	9.36096718480138	316.37933202664	TNFSF9;TNFSF14;IL1RN;IL1B;IL21;CXCL13;CSF2;CSF1;TNF;CSF1R;CCL4L1;CCL4L2;FASLG;TNFRSF9;XCL1;IFNG;XCL2;CXCL8;CCL3L1;CXCL2;CXCL3;CCL5;CCL4;CCL3;CCL2	4	KEGG_2021_Human
Rheumatoid arthritis	16/93	4.14368574740596e-15	1.58553358530008e-13	20.2700270027003	671.286350269269	IL1B;IFNG;HLA-DQB1;CXCL8;CCL3L1;CSF2;CSF1;CXCL2;TNF;CXCL3;HLA-DRB4;HLA-DRB1;CCL5;CCL3;CCL2;HLA-DMA	5	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	18/131	4.66333407441199e-15	1.58553358530008e-13	15.6655752212389	516.949033206182	TYROBP;KLRD1;CSF2;TNF;SH2D1B;HLA-C;HLA-A;PRF1;FASLG;KLRK1;KLRC1;KLRC2;IFNG;HCST;LCP2;FCGR3A;FCER1G;GZMB	6	KEGG_2021_Human
Type I diabetes mellitus	12/43	2.36488424766659e-14	6.89194837891407e-13	37.1143125587222	1164.47871169581	GZMB;HLA-C;HLA-A;IL1B;IFNG;HLA-DQB1;HLA-DRB4;HLA-DRB1;PRF1;TNF;FASLG;HLA-DMA	7	KEGG_2021_Human
Allograft rejection	11/38	1.86244900050737e-13	4.7492449512938e-12	38.8808373590982	1139.66398165175	GZMB;HLA-C;HLA-A;IFNG;HLA-DQB1;HLA-DRB4;HLA-DRB1;PRF1;TNF;FASLG;HLA-DMA	8	KEGG_2021_Human
NF-kappa B signaling pathway	15/104	4.55336621579403e-13	1.03209634224665e-11	16.3499750927105	464.629331738388	VCAM1;TNF;GADD45B;TNFSF14;CCL4L1;CCL4L2;CD14;IL1B;NFKBIA;CXCL8;BCL2A1;TNFAIP3;CXCL2;CXCL3;CCL4	9	KEGG_2021_Human
Lipid and atherosclerosis	19/215	2.68275554937943e-12	5.47282132073403e-11	9.54091888011486	254.209928136352	CD14;RHOA;IL1B;VCAM1;TNF;NLRP3;MAP2K3;CYBB;FASLG;HSPA5;NFKBIA;CXCL8;CCL3L1;CXCL2;CXCL3;SOD2;CCL5;CCL3;CCL2	10	KEGG_2021_Human
Chagas disease	14/102	5.61225736709794e-12	1.02088009409789e-10	15.3585115864528	397.878646990368	TNF;FASLG;IL1B;NFKBIA;IFNG;CALR;CXCL8;CCL3L1;C1QC;C1QB;C1QA;CCL5;CCL3;CCL2	11	KEGG_2021_Human
Human cytomegalovirus infection	19/225	6.00517702410526e-12	1.02088009409789e-10	9.07313265355906	234.43522332827	GNG2;GNG5;HLA-C;HLA-A;RHOA;IL1B;CALR;PTGER4;TNF;CCL4L1;CCL4L2;FASLG;NFKBIA;CXCL8;CCL3L1;CCL5;CCL4;CCL3;CCL2	12	KEGG_2021_Human
Chemokine signaling pathway	17/192	3.82762091851423e-11	6.00642051828387e-10	9.47601990049751	227.293638252241	CXCL13;GNG2;GNG5;CCL4L1;CCL4L2;RHOA;XCL1;NFKBIA;XCL2;CXCL8;CCL3L1;CXCL2;CXCL3;CCL5;CCL4;CCL3;CCL2	13	KEGG_2021_Human
Toll-like receptor signaling pathway	13/104	1.09447488404423e-10	1.59480625960731e-09	13.7219512195122	314.720858351841	TNF;MAP3K8;MAP2K3;CCL4L1;CCL4L2;CD14;IL1B;NFKBIA;CXCL8;CCL3L1;CCL5;CCL4;CCL3	14	KEGG_2021_Human
Tuberculosis	16/180	1.38204730721591e-10	1.87958433781364e-09	9.47500603718908	215.104287188529	CD74;TNF;HLA-DRB4;HLA-DRB1;CD14;RHOA;IL1B;FCGR2A;IFNG;HLA-DQB1;FCGR3A;CLEC7A;FCER1G;CTSD;MRC1;HLA-DMA	15	KEGG_2021_Human
TNF signaling pathway	13/112	2.81586551906679e-10	3.59022853681016e-09	12.6079822616408	277.256858308019	VCAM1;CSF2;CSF1;TNF;MAP3K8;MAP2K3;IL1B;NFKBIA;TNFAIP3;CXCL2;CXCL3;CCL5;CCL2	16	KEGG_2021_Human
Influenza A	15/172	6.92556587954249e-10	8.08293336777391e-09	9.23645320197044	194.802627762452	TNF;ACTB;NLRP3;HLA-DRB4;HLA-DRB1;FASLG;IL1B;NFKBIA;IFNG;HLA-DQB1;CXCL8;SLC25A5;CCL5;CCL2;HLA-DMA	17	KEGG_2021_Human
Leishmaniasis	11/77	7.13200003038875e-10	8.08293336777391e-09	15.8743961352657	334.334772055942	IL1B;NFKBIA;FCGR2A;IFNG;HLA-DQB1;TNF;FCGR3A;CYBB;HLA-DRB4;HLA-DRB1;HLA-DMA	18	KEGG_2021_Human
Hematopoietic cell lineage	12/99	8.34777893463511e-10	8.96287843508191e-09	13.1871442919317	275.66215771172	CD7;CSF2;CSF1;TNF;CD8A;HLA-DRB4;HLA-DRB1;CSF1R;CD14;IL1B;HLA-DQB1;HLA-DMA	19	KEGG_2021_Human
Phagosome	14/152	1.27169572433653e-09	1.29712963882327e-08	9.768968456948	200.096946741913	ACTB;HLA-C;CYBB;HLA-A;HLA-DRB4;HLA-DRB1;CD14;FCGR2A;HLA-DQB1;CALR;FCGR3A;CLEC7A;MRC1;HLA-DMA	20	KEGG_2021_Human
Osteoclast differentiation	13/127	1.36573104129237e-09	1.3267101543983e-08	10.9406931964056	223.316790564827	TYROBP;CSF1;TNF;CSF1R;SPI1;LILRB1;LILRB2;IL1B;NFKBIA;FCGR2A;IFNG;LCP2;FCGR3A	21	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	16/219	2.48590183757781e-09	2.30510897666306e-08	7.63946739501536	151.357943421093	EGR1;EGR2;HLA-C;HLA-A;HLA-DRB4;HLA-DRB1;SPI1;HLA-DQB1;CALR;HLA-DMA;CSF2;TNF;ZFP36;ETS2;NFKBIA;SLC25A5	22	KEGG_2021_Human
Yersinia infection	13/137	3.48779834789787e-09	3.09352549117898e-08	10.0532651455547	195.777236642701	TNF;ACTB;NLRP3;MAP2K3;CD8A;ARPC2;RHOA;IL1B;NFKBIA;FCGR2A;LCP2;CXCL8;CCL2	23	KEGG_2021_Human
Autoimmune thyroid disease	9/53	5.38352897995818e-09	4.57599963296445e-08	19.3173118747281	367.800106197979	HLA-DQB1;GZMB;HLA-C;HLA-A;HLA-DRB4;HLA-DRB1;PRF1;FASLG;HLA-DMA	24	KEGG_2021_Human
Staphylococcus aureus infection	11/95	7.02199153202787e-09	5.72994509013475e-08	12.4613526570048	233.952163384203	FCGR2A;HLA-DQB1;FCGR3A;HLA-DRB4;HLA-DRB1;C1QC;C1QB;CFD;C1QA;C5AR1;HLA-DMA	25	KEGG_2021_Human
Pertussis	10/76	9.816335234579e-09	7.70204764559275e-08	14.3618881118881	264.821985474615	RHOA;IL1B;CXCL8;TNF;CFL1;NLRP3;C1QC;C1QB;C1QA;CD14	26	KEGG_2021_Human
NOD-like receptor signaling pathway	14/181	1.22912693767494e-08	9.28673686243285e-08	8.06064341904426	146.819595141755	TNF;NLRP3;GBP2;CYBB;RHOA;IL1B;NFKBIA;CXCL8;TNFAIP3;CXCL2;CXCL3;NAMPT;CCL5;CCL2	27	KEGG_2021_Human
Apoptosis	12/142	5.21311582347756e-08	3.79812724281937e-07	8.80597460791636	147.671817783373	TNF;ACTB;GADD45B;PRF1;FASLG;NFKBIA;BCL2A1;CTSW;CTSD;MCL1;CTSC;GZMB	28	KEGG_2021_Human
IL-17 signaling pathway	10/94	7.83981771306319e-08	5.51490625332721e-07	11.2740384615385	184.459787509362	IL1B;NFKBIA;IFNG;CXCL8;CSF2;TNFAIP3;CXCL2;TNF;CXCL3;CCL2	29	KEGG_2021_Human
Necroptosis	12/159	1.81444225629964e-07	1.23382073428376e-06	7.78085991678225	120.776978263513	TNF;NLRP3;CYBB;FTL;FASLG;FTH1;GLUL;GLUD1;IL1B;IFNG;TNFAIP3;SLC25A5	30	KEGG_2021_Human
C-type lectin receptor signaling pathway	10/104	2.05874196508963e-07	1.31244800274464e-06	10.069558101473	155.030922081287	TNF;CBLB;NLRP3;EGR2;EGR3;RHOA;IL1B;NFKBIA;CLEC7A;FCER1G	31	KEGG_2021_Human
T cell receptor signaling pathway	10/104	2.05874196508963e-07	1.31244800274464e-06	10.069558101473	155.030922081287	PDCD1;CSF2;TNF;CBLB;MAP3K8;CD8A;RHOA;NFKBIA;IFNG;LCP2	31	KEGG_2021_Human
Coronavirus disease	14/232	2.73661106197028e-07	1.60589749180127e-06	6.15884151825868	93.0685658097814	CFD;IL1B;C1QC;C1QB;C1QA;CSF2;TNF;NLRP3;CYBB;C5AR1;NFKBIA;FCGR2A;CXCL8;CCL2	33	KEGG_2021_Human
Systemic lupus erythematosus	11/135	2.75084405927359e-07	1.60589749180127e-06	8.42441951067477	127.260863703717	TNF;HLA-DRB4;HLA-DRB1;FCGR2A;IFNG;HLA-DQB1;FCGR3A;C1QC;C1QB;C1QA;HLA-DMA	34	KEGG_2021_Human
Viral myocarditis	8/60	2.75521628495316e-07	1.60589749180127e-06	14.4542124542125	218.325093173348	HLA-DQB1;ACTB;HLA-C;HLA-A;HLA-DRB4;HLA-DRB1;PRF1;HLA-DMA	35	KEGG_2021_Human
Inflammatory bowel disease	8/65	5.1871890066595e-07	2.93940710377371e-06	13.1829573934837	190.782490113329	IL1B;IFNG;HLA-DQB1;TNF;HLA-DRB4;HLA-DRB1;IL21;HLA-DMA	36	KEGG_2021_Human
Salmonella infection	14/249	6.43618423071548e-07	3.54859887315124e-06	5.70834376303713	81.3790608632324	PFN1;ACTB;CD14;RHOA;RHOH;RHOB;IL1B;TNF;NLRP3;MAP2K3;ARPC2;NFKBIA;CXCL8;GAPDH	37	KEGG_2021_Human
Asthma	6/31	9.18000761674549e-07	4.92821461530547e-06	22.3664150943396	310.917048567703	HLA-DQB1;HLA-DRB4;HLA-DRB1;TNF;FCER1G;HLA-DMA	38	KEGG_2021_Human
Malaria	7/50	1.11383665162029e-06	5.82622248539846e-06	15.2290311914472	208.754991769257	VCAM1;IL1B;IFNG;CXCL8;TNF;KLRK1;CCL2	39	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	12/193	1.44929357329397e-06	7.39139722379925e-06	6.30831947647911	84.8117868148271	GNG2;GNG5;HLA-C;HLA-A;HIF1A;CSF2;ZFP36;NFKBIA;CXCL8;CXCL2;CXCL3;CLEC2B	40	KEGG_2021_Human
Epstein-Barr virus infection	12/202	2.3352764963875e-06	1.1619424518611e-05	6.00674501788452	77.8917467716689	GADD45B;HLA-C;HLA-A;HLA-DRB4;HLA-DRB1;HLA-DQB1;CALR;HLA-DMA;TNF;MAP2K3;NFKBIA;TNFAIP3	41	KEGG_2021_Human
Th17 cell differentiation	9/107	2.61954301134034e-06	1.27234946265102e-05	8.64935064935065	111.165871583366	HLA-DRB4;HLA-DRB1;HIF1A;IL1B;NFKBIA;IFNG;HLA-DQB1;IL21;HLA-DMA	42	KEGG_2021_Human
Legionellosis	7/57	2.76376588757311e-06	1.31118195596492e-05	13.0923222748815	167.567537705078	IL1B;NFKBIA;CXCL8;CXCL2;TNF;CXCL3;CD14	43	KEGG_2021_Human
Cell adhesion molecules	10/148	5.29766122904176e-06	2.45618838801027e-05	6.84364548494983	83.1382828131095	VCAM1;PDCD1;HLA-C;HLA-A;CD8A;HLA-DRB4;HLA-DRB1;HLA-DQB1;HLA-DMA;TIGIT	44	KEGG_2021_Human
Transcriptional misregulation in cancer	11/192	8.75002362425627e-06	3.96667737632951e-05	5.75469079456588	67.0217425305542	CSF2;GADD45B;NR4A3;CSF1R;SPI1;CD14;ID2;REL;CXCL8;BCL2A1;GZMB	45	KEGG_2021_Human
