p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	4.24961974034735	0.212	0.017	0	TNFRSF4	c3
0	4.07304037241081	0.139	0.009	0	FOXP3	c3
0	4.03719479923515	0.024	0.001	0	IL1R2	c3
0	3.93571617496279	0.057	0.004	0	IL2RA	c3
0	3.74471788528667	0.131	0.011	0	LOC101928173	c3
0	3.62704116996552	0.191	0.018	0	TNFRSF18	c3
0	3.33826219144928	0.06	0.006	0	MAGEH1	c3
0	3.32663561599641	0.05	0.005	0	ICA1	c3
0	3.23180469524785	0.049	0.005	0	TBC1D4	c3
0	2.98241389939213	0.159	0.021	0	CTLA4	c3
0	2.85893766763108	0.156	0.047	0	CXCL13	c3
0	2.77180796236211	0.056	0.008	0	RTKN2	c3
0	2.64292036805409	0.132	0.023	0	MIR4435-1HG	c3
0	2.63882156594039	0.107	0.017	0	DNPH1	c3
0	2.62655247971948	0.297	0.056	0	BATF	c3
0	2.14810107039585	0.098	0.024	0	TNFRSF1B	c3
0	2.03353770670359	0.125	0.032	0	CARD16	c3
0	2.00881325407437	0.135	0.035	0	ICOS	c3
0	1.99038402603246	0.143	0.037	0	CORO1B	c3
0	1.96631636862138	0.115	0.031	0	PIM2	c3
0	1.89538899430374	0.16	0.047	0	PKM	c3
0	1.82849518800587	0.171	0.051	0	DUSP4	c3
0	1.79900304946418	0.156	0.047	0	TIGIT	c3
0	1.79674805037237	0.201	0.06	0	SPOCK2	c3
0	1.74438335481029	0.086	0.026	0	IGFLR1	c3
0	1.57004714043215	0.186	0.069	0	UCP2	c3
0	1.568556409108	0.157	0.055	0	CD27	c3
0	1.48725567414649	0.158	0.061	0	LINC00152	c3
0	1.33087924003756	0.645	0.38	0	IL32	c3
0	1.32235277860073	0.236	0.097	0	ARPC1B	c3
0	1.25925340536909	0.335	0.179	0	LTB	c3
0	1.25684212209793	0.397	0.18	0	RGS1	c3
0	1.2343175216766	0.63	0.332	0	GAPDH	c3
0	1.20028807387662	0.196	0.09	0	SOD1	c3
0	1.17213099746423	0.317	0.149	0	CD2	c3
0	1.13567836094586	0.642	0.37	0	S100A4	c3
0	1.11340463571217	0.275	0.133	0	IL2RG	c3
0	0.999873455999474	0.43	0.228	0	MYL6	c3
0	0.917455963229901	0.415	0.267	0	SRGN	c3
0	0.895187421563122	0.928	0.754	0	ACTB	c3
0	0.812075561912835	0.59	0.398	0	ACTG1	c3
0	0.784679319471693	0.657	0.43	0	PFN1	c3
0	0.680208255904975	0.809	0.686	0	TMSB10	c3
0	0.507581456321078	0.799	0.647	0	HLA-A	c3
0	0.402664279592029	0.99	0.963	0	B2M	c3
0	0.322793325979965	0.94	0.886	0	TMSB4X	c3
1.14133607607695e-290	0.698427593849005	0.393	0.254	2.3700984955814e-286	ARHGDIB	c3
1.03813711587817e-285	1.8180995593446	0.074	0.022	2.15579553483261e-281	UGP2	c3
1.11320783382693e-285	1.56134604709311	0.095	0.033	2.311687387725e-281	PMAIP1	c3
