p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	1.98714998739714	0.901	0.58	0	RNR1	c13
0	1.46814683857718	0.962	0.83	0	RNR2	c13
0	1.15799587171291	0.658	0.482	0	ND4L	c13
0	1.13414792419042	0.681	0.504	0	ATP8	c13
0	0.975359163605833	0.615	0.419	0	ND4	c13
0	0.894660515719927	0.877	0.803	0	COX1	c13
0	0.818324819273014	0.915	0.847	0	COX2	c13
0	0.805618671142979	0.813	0.707	0	ND3	c13
3.36102210066188e-306	1.08053693882818	0.652	0.488	6.97949849423447e-302	CYTB	c13
3.13735670023708e-272	0.84006637367732	0.764	0.638	6.51503492371233e-268	ATP6	c13
1.26199191599254e-231	1.09486632172816	0.392	0.238	2.62065241275011e-227	ND5	c13
1.55252617347227e-222	0.951930499355701	0.482	0.326	3.22397585183251e-218	ND1	c13
5.2511781926702e-222	0.882836683965798	0.449	0.289	1.09045966348989e-217	ND2	c13
2.73032477865314e-193	1.58660612287919	0.113	0.04	5.6697924353511e-189	MTRNR2L2	c13
2.14051904433033e-147	0.77737234933027	0.692	0.583	4.44500184745636e-143	COX3	c13
4.19745176731571e-136	1.24246232196238	0.147	0.069	8.71642834000781e-132	ND6	c13
6.4909190347689e-102	1.22005498844509	0.101	0.046	1.34790424676011e-97	RNA45S5	c13
4.56865900370301e-57	0.187357203693084	0.5	0.383	9.48727728708968e-53	CCL5	c13
7.14024418904515e-55	1.46480392188689	0.038	0.015	1.48274310829712e-50	MTRNR2L8	c13
2.43574625339027e-50	1.13302878954869	0.063	0.031	5.05807066979023e-46	GeneID:102723863	c13
3.81905652361556e-47	0.594628389407132	0.161	0.106	7.93065277694007e-43	GZMK	c13
2.31857981204874e-43	1.67744946755281	0.023	0.008	4.81476283770042e-39	RMRP	c13
3.66295235074226e-40	0.463413453172484	0.24	0.179	7.60648685155139e-36	PTPRC	c13
6.64911117615436e-32	0.800766167533089	0.069	0.04	1.38075442684021e-27	RNF213	c13
8.38905827479333e-31	0.656221385011025	0.097	0.062	1.74207184134358e-26	CLDND1	c13
5.62600971130923e-27	0.555804231898311	0.106	0.072	1.16829717665048e-22	AHNAK	c13
6.79215685540629e-27	0.269103568851856	0.326	0.266	1.41045929259367e-22	ZFP36L2	c13
1.65260531220259e-26	0.435568244088842	0.167	0.124	3.43180019131989e-22	CD8A	c13
4.0318022899561e-26	0.78819986447717	0.057	0.034	8.37244063532283e-22	N4BP2L2	c13
8.38725941457636e-26	1.35544590378534	0.019	0.007	1.74169829003093e-21	ATP8A1	c13
2.25764362727512e-25	1.03088978448569	0.031	0.015	4.68822275639952e-21	MACF1	c13
5.57351067325103e-25	0.363114392455015	0.254	0.205	1.15739522640731e-20	HLA-H	c13
7.3926473635976e-25	1.15972993271041	0.024	0.011	1.53515715152468e-20	OGT	c13
1.55081035042037e-24	0.922556971216272	0.038	0.02	3.22041277368295e-20	XIST	c13
1.80180298377161e-21	1.21142788268347	0.024	0.012	3.74162407610013e-17	RN7SL1	c13
2.50105566126792e-20	0.175177413505441	0.685	0.665	5.19369218618897e-16	HLA-C	c13
3.88482405402203e-20	0.619606935606076	0.069	0.046	8.06722563058214e-16	MYH9	c13
1.20177649497412e-19	1.05584290111681	0.022	0.011	2.49560906946325e-15	SYNE1	c13
2.43459164143482e-19	0.25255219747483	0.249	0.203	5.05567300260354e-15	CST7	c13
4.83595565747606e-19	0.872686795560619	0.032	0.018	1.00423455183148e-14	IKZF3	c13
1.35770805876726e-18	0.737074154391077	0.045	0.027	2.81941655483609e-14	TC2N	c13
2.83221392254571e-18	0.597892005505709	0.064	0.042	5.88137543155843e-14	PIK3R1	c13
3.62804405856521e-18	1.17854928067987	0.018	0.008	7.53399629201651e-14	BTN3A1	c13
1.30842063353963e-17	0.909089650221275	0.029	0.016	2.71706628760839e-13	SAMD3	c13
2.25546274602688e-17	0.746825222496069	0.04	0.024	4.68369393839941e-13	CHD2	c13
2.32758818647377e-16	0.768018381479493	0.037	0.022	4.83346962803143e-12	RPS10	c13
2.46599573316963e-15	0.477049508307495	0.094	0.069	5.12088673950006e-11	C9orf142	c13
2.58020207555923e-15	1.27016904808531	0.012	0.005	5.3580476301063e-11	VPS13A	c13
3.59367493594105e-15	0.602371893383854	0.053	0.035	7.4626253719752e-11	PARP8	c13
6.00436193158457e-15	0.768019804221292	0.033	0.02	1.24686579871285e-10	RASAL3	c13
8.19124275577873e-15	0.59745777912164	0.055	0.037	1.70099347066501e-10	CDC42SE2	c13
1.30487633137896e-14	1.09516210896758	0.015	0.007	2.70970618974155e-10	MYBL1	c13
1.36758301001115e-14	0.839037383898288	0.027	0.015	2.83992287858916e-10	AKAP9	c13
1.73675131895501e-14	0.339206991865389	0.133	0.104	3.60653778894198e-10	CD8B	c13
1.95802344592545e-14	0.673982380018739	0.042	0.027	4.06603148780879e-10	SUN2	c13
4.33467331284e-14	1.05696224895165	0.017	0.008	9.00138260144355e-10	ATHL1	c13
5.35601435070549e-14	0.518619423615763	0.07	0.05	1.1122299400675e-09	FLNA	c13
1.47309931855666e-13	0.741415113161349	0.032	0.019	3.05903804491477e-09	AKNA	c13
