p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	3.87511346907851	0.357	0.027	0	CCL4L2	c3
0	3.76121083704816	0.993	0.183	0	CCL4	c3
0	3.44285969356925	0.529	0.059	0	CCL4L1	c3
0	2.98765516688655	0.069	0.01	0	CCL3L1	c3
0	2.69483447415661	0.288	0.066	0	CCL3	c3
0	2.18460496543506	0.071	0.016	0	TNFSF9	c3
0	1.87878709687422	0.211	0.063	0	IFNG	c3
0	1.8578174056046	0.158	0.052	0	XCL2	c3
0	1.57495168370299	0.157	0.058	0	XCL1	c3
0	1.44888620519876	0.156	0.061	0	TNF	c3
0	1.34444702481341	0.444	0.201	0	DUSP2	c3
0	1.05798191502892	0.395	0.194	0	CST7	c3
0	1.0081777208266	0.745	0.366	0	CCL5	c3
0	-0.96497128445996	0.445	0.596	0	COX3	c3
0	-0.834912734377951	0.473	0.619	0	RPS8	c3
0	0.824343861591584	0.521	0.326	0	CD69	c3
0	0.765234879917313	0.578	0.379	0	ZFP36	c3
0	-0.733740760408644	0.479	0.645	0	TPT1	c3
0	-0.708039864197569	0.451	0.606	0	RPL37	c3
0	0.70122276036488	0.476	0.245	0	NKG7	c3
0	-0.69644313071383	0.446	0.596	0	RPS13	c3
0	-0.616569768253879	0.632	0.745	0	RPL34	c3
0	-0.589034959233099	0.794	0.865	0	EEF1A1	c3
0	0.432432594274073	0.802	0.658	0	HLA-C	c3
1.29056597395822e-305	1.0194348171541	0.215	0.102	2.67998930152163e-301	GZMK	c3
4.34753865771971e-292	-0.793960319992583	0.741	0.84	9.02809877662075e-288	RNR2	c3
1.53544821212096e-285	0.948929933971336	0.237	0.119	3.18851175729039e-281	CD8A	c3
4.07430719487887e-275	0.797057789548384	0.424	0.278	8.46070632088547e-271	KLF6	c3
7.94126920533838e-270	-0.455498443218756	0.776	0.836	1.64908396318057e-265	RPL39	c3
2.34648752463314e-264	1.02065858179046	0.203	0.099	4.87271599365319e-260	CD8B	c3
6.4119311839551e-264	-0.641261387183112	0.509	0.628	1.33150162966012e-259	RPS3A	c3
6.13674796865084e-261	-0.51403392588709	0.703	0.774	1.27435708317003e-256	RPL32	c3
4.95099320894424e-254	-3.2858863213213	0.021	0.129	1.02812324976936e-249	LYZ	c3
4.57631162545788e-245	0.512388192899503	0.582	0.424	9.50316872142583e-241	JUN	c3
2.71013925203475e-243	-0.578951356623831	0.575	0.673	5.62787517077537e-239	RPS23	c3
2.01270584200039e-237	-3.33542597657548	0.02	0.122	4.179584951498e-233	IFI30	c3
2.66506220727599e-233	-1.77983916749374	0.06	0.179	5.53426817962931e-229	LTB	c3
7.86610759285275e-224	-5.30382309156531	0.004	0.092	1.6334759027318e-219	S100A9	c3
6.3615863625529e-220	1.08814302939166	0.16	0.076	1.32104702404774e-215	CITED2	c3
4.60614870218052e-219	0.6627052379205	0.476	0.344	9.56512839494806e-215	TSC22D3	c3
1.17142906141595e-217	-0.700710542781792	0.367	0.497	2.43258958893635e-213	RPS6	c3
1.33790892406147e-213	0.502952615378258	0.288	0.167	2.77830167170604e-209	GZMA	c3
2.38827118152161e-211	-5.20153069637978	0.004	0.087	4.95948393554777e-207	S100A8	c3
1.71752813022437e-210	0.537870092462776	0.539	0.404	3.56661891522393e-206	H3F3B	c3
1.64375559872884e-207	0.655861407978043	0.516	0.397	3.4134228763203e-203	FXYD5	c3
1.57293493054858e-204	0.220944390496626	0.976	0.921	3.26635667677719e-200	B2M	c3
1.9809096993755e-204	0.627149980082588	0.391	0.261	4.11355708172317e-200	ZFP36L2	c3
4.39156647185238e-200	1.03306721639173	0.163	0.081	9.11952693544864e-196	TAGAP	c3
1.83980768415097e-198	-0.74161823091934	0.268	0.402	3.82054463690791e-194	RPL9	c3
4.14271534860918e-191	-0.433172474955497	0.686	0.747	8.60276269292183e-187	RPL11	c3
4.99892303556208e-189	-0.482217314301033	0.559	0.657	1.03807635756482e-184	RPS14	c3
5.12290827966531e-189	-1.0121054610723	0.486	0.597	1.0638231333553e-184	RNR1	c3
8.2294811402024e-189	0.643927537470853	0.215	0.119	1.70893405357443e-184	GZMB	c3
1.335514888442e-181	-2.88254199059576	0.016	0.097	2.77333021733865e-177	CTSS	c3
5.05788031286762e-175	0.629665905458561	0.332	0.218	1.05031942577009e-170	HCST	c3
2.72342594235894e-174	-4.36668546636667	0.004	0.073	5.65546631190257e-170	FCN1	c3
5.30325714084878e-169	0.939926256634532	0.184	0.101	1.10127437786866e-164	NR4A2	c3
