Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Protein processing in endoplasmic reticulum	23/171	1.42185125057267e-14	3.12807275125988e-12	9.68975045332873	308.950247423716	ERN1;ERP29;RRBP1;HSP90B1;PDIA4;XBP1;PDIA6;HYOU1;UBE2J1;HSPA5;SSR3;SSR4;EIF2AK4;CALR;TRAM1;SEC61G;SEC61B;CANX;P4HB;DERL3;HERPUD1;LMAN1;LMAN2	1	KEGG_2021_Human
Parkinson disease	19/249	4.7691470624941e-08	5.06303931756198e-06	5.06440817446166	85.3783924034023	CALM2;UQCR10;UBE2L6;XBP1;TXN;UBE2J1;COX6C;COX6B1;PSMA6;PSMA2;ERN1;PARK7;COX6A1;KIF5B;COX7A2;HSPA5;NDUFA7;NDUFA4;SLC25A5	2	KEGG_2021_Human
Protein export	7/23	6.90414452394815e-08	5.06303931756198e-06	26.1276595744681	430.807452689953	HSPA5;SRP14;SPCS2;SPCS1;SEC61G;SEC61B;SEC11C	3	KEGG_2021_Human
Pathways of neurodegeneration	22/475	1.95180389349297e-05	0.00107349214142113	2.97128836771137	32.2211604762312	GABARAP;ATG101;COX6B1;PSMA6;PSMA2;PARK7;GPX1;NDUFA7;NDUFA4;SLC25A5;CALM2;APP;UQCR10;UBE2L6;XBP1;UBE2J1;COX6C;ERN1;COX6A1;KIF5B;COX7A2;HSPA5	4	KEGG_2021_Human
Antigen processing and presentation	8/78	4.92536223956306e-05	0.00216715938540775	6.82717770034843	67.7155507368686	CTSB;CD74;HSPA5;CD4;CALR;CANX;HLA-DRB4;HLA-DMA	5	KEGG_2021_Human
Amyotrophic lateral sclerosis	17/364	0.000155709184681962	0.00570933677167194	2.96666455873452	26.0102923093883	UQCR10;XBP1;GABARAP;COX6C;ATG101;COX6B1;PSMA6;PSMA2;ERN1;COX6A1;KIF5B;COX7A2;GPX1;HSPA5;NDUFA7;NDUFA4;ANXA11	6	KEGG_2021_Human
Prion disease	14/273	0.000228575505213992	0.00718380159243975	3.25751217055565	27.3098222451612	UQCR10;COX6C;COX6B1;PSMA6;PSMA2;COX6A1;KIF5B;CYBA;COX7A2;HSPA5;NDUFA7;NDUFA4;SLC25A5;CCL5	7	KEGG_2021_Human
Autophagy	9/137	0.000522157144847353	0.0133819501523552	4.2006880733945	31.7468764243513	ERN1;VAMP8;GABARAP;CTSB;EIF2AK4;HMGB1;ATG101;SNAP29;DDIT4	8	KEGG_2021_Human
Alzheimer disease	16/369	0.000547443415323621	0.0133819501523552	2.73526912181303	20.5425588954078	CALM2;APP;UQCR10;XBP1;COX6C;ATG101;COX6B1;PSMA6;PSMA2;ERN1;COX6A1;KIF5B;COX7A2;NDUFA7;NDUFA4;SLC25A5	9	KEGG_2021_Human
Cardiac muscle contraction	7/87	0.000656399859517276	0.0143041448767838	5.20851063829787	38.1718224052275	TPM2;COX6C;FXYD2;UQCR10;COX6A1;COX6B1;COX7A2	10	KEGG_2021_Human
Huntington disease	14/306	0.000715207243839192	0.0143041448767838	2.88445503275759	20.8919295595156	UQCR10;COX6C;ATG101;COX6B1;PSMA6;PSMA2;ERN1;COX6A1;KIF5B;COX7A2;GPX1;NDUFA7;NDUFA4;SLC25A5	11	KEGG_2021_Human
Non-alcoholic fatty liver disease	9/155	0.00125976294751911	0.0230956540378503	3.67940178459218	24.5667465187927	ERN1;UQCR10;COX6A1;XBP1;COX7A2;COX6C;NDUFA7;NDUFA4;COX6B1	12	KEGG_2021_Human
Ribosome	9/158	0.00143969876333057	0.0232772022392177	3.60476571639677	23.5871405798614	RPS8;RPL22L1;RPS23;RPL6;MRPL20;RPS3A;MRPS6;RPL37A;RPLP0	13	KEGG_2021_Human
Vibrio cholerae infection	5/50	0.00148127650613203	0.0232772022392177	6.58576703591809	42.9052913469994	ARF1;SEC61G;SEC61B;PDIA4;ATP6V1G1	14	KEGG_2021_Human
Thyroid hormone synthesis	6/75	0.00163576386984572	0.0236600492189076	5.16337285902503	33.1263692543163	GPX1;HSPA5;FXYD2;HSP90B1;PDIA4;CANX	15	KEGG_2021_Human
Asthma	4/31	0.00172073085228419	0.0236600492189076	8.76260597947345	55.7740410745798	HLA-DRB4;FCER1A;FCER1G;HLA-DMA	16	KEGG_2021_Human
Oxidative phosphorylation	8/133	0.00185875517808227	0.0240544787751823	3.81248780487805	23.972344865098	UQCR10;COX6A1;COX7A2;COX6C;ATP6V1G1;NDUFA7;NDUFA4;COX6B1	17	KEGG_2021_Human
Allograft rejection	4/38	0.00368169792615475	0.044998530208558	6.95605953224663	38.9844095484703	GZMB;HLA-DRB4;PRF1;HLA-DMA	18	KEGG_2021_Human
Phagosome	8/152	0.00423313534812394	0.0490152513993298	3.30623306233062	18.0679432493107	CYBA;HLA-DRB4;CALR;SEC61G;SEC61B;ATP6V1G1;CANX;HLA-DMA	19	KEGG_2021_Human
Graft-versus-host disease	4/42	0.00529757913249331	0.0582733704574264	6.22257450856056	32.6094348798536	GZMB;HLA-DRB4;PRF1;HLA-DMA	20	KEGG_2021_Human
Type I diabetes mellitus	4/43	0.00576496510332426	0.060394872511016	6.06271238801359	31.2590793952991	GZMB;HLA-DRB4;PRF1;HLA-DMA	21	KEGG_2021_Human
Diabetic cardiomyopathy	9/203	0.00754653796431789	0.0754653796431789	2.76222453419086	13.4980697339148	UQCR10;COX6C;COX6B1;COX6A1;CYBA;COX7A2;NDUFA7;NDUFA4;SLC25A5	22	KEGG_2021_Human
Fluid shear stress and atherosclerosis	7/139	0.00917921876980628	0.0878012230155383	3.14829142488717	14.7680469081359	CALM2;HSP90B1;CYBA;MGST2;TXN;MEF2C;SUMO2	23	KEGG_2021_Human
Apoptosis	7/142	0.0102529438700295	0.0939853188086035	3.07785657998424	14.0971691842327	ERN1;PRF1;CSF2RB;CTSB;IL3RA;CTSC;GZMB	24	KEGG_2021_Human
Autoimmune thyroid disease	4/53	0.0120060136658837	0.101764043622087	4.8229653307106	21.3288292318297	GZMB;HLA-DRB4;PRF1;HLA-DMA	25	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	9/219	0.0120266597007921	0.101764043622087	2.54967234600262	11.2711566648182	CD4;HLA-DRB4;ANAPC11;CALR;CANX;HLA-DMA;ZFP36;PTTG1;SLC25A5	26	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	8/193	0.016607967351409	0.133038903672208	2.56809492419249	10.5237261780229	CALM2;GNG5;GNG7;GABARAP;SYK;MAPKAPK2;ZFP36;IRF7	27	KEGG_2021_Human
Coronavirus disease	9/232	0.0169322241037355	0.133038903672208	2.39943226231127	9.78617259113981	MX1;RPL22L1;RPS23;RPL6;SYK;RPLP0;RPS8;RPS3A;RPL37A	28	KEGG_2021_Human
Osteoclast differentiation	6/127	0.0204460446838953	0.155107925188171	2.93658903080391	11.4232309842034	CYBA;LILRB4;SOCS1;BLNK;SYK;LILRA4	29	KEGG_2021_Human
Lysosome	6/128	0.0211595883561276	0.155170314611602	2.9123695976155	11.2291131545869	CD164;CD68;CTSB;NPC2;MAN2B1;CTSC	30	KEGG_2021_Human
Primary immunodeficiency	3/38	0.0256992412645232	0.177386250963418	5.05250965250965	18.4987223172043	CD4;ADA;BLNK	31	KEGG_2021_Human
Hematopoietic cell lineage	5/99	0.0258016365037699	0.177386250963418	3.14488654624928	11.5018481567003	CD4;CD7;HLA-DRB4;IL3RA;HLA-DMA	32	KEGG_2021_Human
Human immunodeficiency virus 1 infection	8/212	0.0272731951895242	0.177929478552148	2.32663797226208	8.38020312164888	CD4;CALM2;GNG5;GNG7;BST2;CALR;CXCR4;LIMK2	33	KEGG_2021_Human
Fc epsilon RI signaling pathway	4/68	0.0274981921398774	0.177929478552148	3.68975903614458	13.2596472759862	FCER1A;FCER1G;SYK;ALOX5AP	34	KEGG_2021_Human
Lipid and atherosclerosis	8/215	0.0293104131133968	0.184236882427065	2.29256509956404	8.09232478441959	CALM2;XBP1;ERN1;HSP90B1;CYBA;HSPA5;IRF7;CCL5	35	KEGG_2021_Human
Spinocerebellar ataxia	6/143	0.033943276365805	0.207431133346586	2.59150630391506	8.76723295181816	ERN1;XBP1;ATG101;PSMA6;PSMA2;SLC25A5	36	KEGG_2021_Human
Glycosphingolipid biosynthesis	3/45	0.039700911663958	0.236059474758669	4.20892320892321	13.5795904093136	ST6GALNAC4;B4GALT1;FUT7	37	KEGG_2021_Human
Proteasome	3/46	0.0419593598771603	0.242922609815138	4.11083176199455	13.035668479094	PSMA6;PSMA2;POMP	38	KEGG_2021_Human
Intestinal immune network for IgA production	3/48	0.0466654809811829	0.261529832115089	3.92772772772773	12.0375057252327	HLA-DRB4;CXCR4;HLA-DMA	39	KEGG_2021_Human
B cell receptor signaling pathway	4/81	0.0475508785663798	0.261529832115089	3.06477859489908	9.33517772632757	LILRB4;BLNK;SYK;LILRA4	40	KEGG_2021_Human
Sphingolipid metabolism	3/49	0.0491120442037562	0.263528042068936	3.84214649432041	11.5788885279222	UGCG;CERS6;SMPD3	41	KEGG_2021_Human
Platelet activation	5/124	0.058304456875449	0.305404297919019	2.48102262052857	7.05125668440463	MYL12B;MYL12A;VAMP8;FCER1G;SYK	42	KEGG_2021_Human
Cytokine-cytokine receptor interaction	9/295	0.0621977523857042	0.318221058717556	1.86482325014435	5.1794280028028	CD4;CXCR4;CXCR3;CXCL13;CSF2RB;TNFRSF9;TNFRSF21;IL3RA;CCL5	43	KEGG_2021_Human
Influenza A	6/172	0.0706806259171887	0.337519812416414	2.13559693318729	5.65844298608188	MX1;HLA-DRB4;IRF7;SLC25A5;CCL5;HLA-DMA	44	KEGG_2021_Human
Glutathione metabolism	3/57	0.0708423382559944	0.337519812416414	3.2716049382716	8.66091471169362	GPX1;LAP3;MGST2	45	KEGG_2021_Human
Rheumatoid arthritis	4/93	0.0716409323409221	0.337519812416414	2.64992554487613	6.98543875189274	ATP6V1G1;HLA-DRB4;CCL5;HLA-DMA	46	KEGG_2021_Human
Dopaminergic synapse	5/132	0.0721065053798702	0.337519812416414	2.32378618835788	6.11065374946058	CALM2;COMT;GNG5;GNG7;KIF5B	47	KEGG_2021_Human
Viral myocarditis	3/60	0.0799306736197935	0.358883827839696	3.09894104630947	7.82977081151537	HLA-DRB4;PRF1;HLA-DMA	48	KEGG_2021_Human
Circadian entrainment	4/97	0.0808243730644796	0.358883827839696	2.53543205078378	6.377820278868	CALM2;RASD1;GNG5;GNG7	49	KEGG_2021_Human
Apelin signaling pathway	5/137	0.0815645063272037	0.358883827839696	2.23519179712533	5.60219773362389	CALM2;GNG5;GNG7;GABARAP;MEF2C	50	KEGG_2021_Human
Tuberculosis	6/180	0.0837229216369324	0.361157701178924	2.03657262277952	5.05119394137082	CD74;CALM2;HLA-DRB4;FCER1G;SYK;HLA-DMA	51	KEGG_2021_Human
NOD-like receptor signaling pathway	6/181	0.0854411675165113	0.361481862569855	2.02483116883117	4.98093734680762	CYBA;GABARAP;TXN;CTSB;IRF7;CCL5	52	KEGG_2021_Human
Viral protein interaction with cytokine and cytokine receptor	4/100	0.0880753112338555	0.365595631536759	2.45582329317269	5.9665774592628	CXCL13;CXCR4;CCL5;CXCR3	53	KEGG_2021_Human
Thermogenesis	7/232	0.0973002692426574	0.389240893699126	1.83820330969267	4.28292827677391	UQCR10;COX6C;COX6B1;COX6A1;COX7A2;NDUFA7;NDUFA4	54	KEGG_2021_Human
C-type lectin receptor signaling pathway	4/104	0.098212749068546	0.389240893699126	2.35710843373494	5.46995119261995	MAPKAPK2;CALM2;FCER1G;SYK	55	KEGG_2021_Human
Phospholipase D signaling pathway	5/148	0.104555419159529	0.389240893699126	2.06209198656329	4.65628210900666	ARF1;FCER1A;FCER1G;SYK;ARF6	56	KEGG_2021_Human
Chemokine signaling pathway	6/192	0.105607376188825	0.389240893699126	1.90400782013685	4.28026110188397	CXCL13;GNG5;GNG7;CXCR4;CCL5;CXCR3	57	KEGG_2021_Human
Base excision repair	2/33	0.105784387608101	0.389240893699126	3.79235078230636	8.51895603720123	APEX1;HMGB1	58	KEGG_2021_Human
SNARE interactions in vesicular transport	2/33	0.105784387608101	0.389240893699126	3.79235078230636	8.51895603720123	VAMP8;SNAP29	58	KEGG_2021_Human
Th17 cell differentiation	4/107	0.106156607372489	0.389240893699126	2.28810387179787	5.13185053808817	CD4;HLA-DRB4;IRF4;HLA-DMA	60	KEGG_2021_Human
Mucin type O-glycan biosynthesis	2/36	0.122238079206657	0.431757675582012	3.45720324057767	7.26629676169254	GALNT2;ST6GALNAC4	61	KEGG_2021_Human
Tyrosine metabolism	2/36	0.122238079206657	0.431757675582012	3.45720324057767	7.26629676169254	MIF;COMT	61	KEGG_2021_Human
Leukocyte transendothelial migration	4/114	0.125769512998256	0.431757675582012	2.14173055859803	4.44045919605532	MYL12B;CYBA;MYL12A;CXCR4	63	KEGG_2021_Human
Epstein-Barr virus infection	6/202	0.125890259944924	0.431757675582012	1.80593692022263	3.7425238130108	HLA-DRB4;CALR;SYK;HLA-DMA;IRF7;BLNK	64	KEGG_2021_Human
Salmonella infection	7/249	0.127564767785594	0.431757675582012	1.70757868823633	3.51612831558979	MYL12B;MYL12A;TXN;ARF1;ARF6;HSP90B1;KIF5B	65	KEGG_2021_Human
Leishmaniasis	3/77	0.139708844166243	0.465696147220809	2.38495252008766	4.69405092516275	CYBA;HLA-DRB4;HLA-DMA	66	KEGG_2021_Human
PI3K-Akt signaling pathway	9/354	0.143708810649558	0.471879676759742	1.54120462704428	2.98988484518137	GNG5;GNG7;TCL1A;VEGFB;AREG;SYK;HSP90B1;IL3RA;DDIT4	67	KEGG_2021_Human
cGMP-PKG signaling pathway	5/167	0.150812652424358	0.487923287255276	1.81847003095744	3.44003053500302	CALM2;RGS2;FXYD2;MEF2C;SLC25A5	68	KEGG_2021_Human
