Sample	passed	failed	total
CN1	3704	0	3704
CN2	1639	0	1639
CT1	3878	0	3878
CT2	3274	0	3274
EN1	7568	0	7568
EN2	1826	0	1826
EN3	385	0	385
ET1	11074	0	11074
ET2	7809	0	7809
ET3	5523	0	5523
LB6	8235	0	8235
LN1	6169	0	6169
LN2	7403	0	7403
LN3	12006	0	12006
LN4	6288	0	6288
LN5	5724	0	5724
LN6	8507	0	8507
LT1	7462	0	7462
LT2	8783	0	8783
LT3	6962	0	6962
LT4	9181	0	9181
LT5	5284	0	5284
LT6	5472	0	5472
RB1	4816	0	4816
RB2	8571	0	8571
RB3	3953	0	3953
RN1	5933	0	5933
RN2	7976	0	7976
RN3	5603	0	5603
RT1	7365	0	7365
RT2	5529	0	5529
RT3	6724	0	6724
All_Samples	200626	0	200626
