Cluster	CD3E	CD3D	CD3G	CD14	CD68	Cluster_Size	Clonotype_Pct	km_cluster	is_TCell
g0	1.87641677796562	2.67440413833423	2.98767464358306	-0.657373780921956	-0.522217491608122	15563	0.624943776906766	2	TRUE
g1	-0.316394947585977	-0.753767100357333	-0.810782847830232	-0.663289349441612	-0.524050645724641	11208	0.564953604568166	1	FALSE
g2	1.87691337975839	2.4020275722591	1.40237171392062	-0.647751316523376	-0.513752432728096	11179	0.811968870203059	2	TRUE
g3	0.672676095272691	0.173496048571791	0.213055454790296	-0.652902175660203	-0.512515965780062	10800	0.65787037037037	2	TRUE
g4	-1.19466565784683	-1.03581416916267	-1.08270947327308	2.35033099887275	1.83826186372822	10489	0.159977118886452	1	FALSE
g5	1.63076566787147	0.88723986378608	1.07939916838937	-0.662826924931465	-0.519496321088829	10102	0.673925955256385	2	TRUE
g6	-0.26449975893241	-0.363021354848276	-0.607008491198125	-0.654216446395922	-0.5144415317555	9494	0.485464503897198	1	FALSE
g7	-0.187475225304261	-0.210306013495386	-0.141097284488443	0.161762852191584	-0.24028976666457	9400	0.467553191489362	1	FALSE
g8	0.747319950640315	0.750113576996126	0.729848238862264	-0.0754191652114237	-0.311465405036353	8928	0.508848566308244	2	TRUE
g9	0.944737616063641	0.988669641082757	1.34625244428957	-0.653305064137534	-0.513674628627758	8885	0.475070343275183	2	TRUE
g10	-0.314910943670003	-0.377741685069928	-0.0616968737357452	0.0619928668545559	-0.292882211770919	8025	0.335700934579439	1	FALSE
g11	-1.31048845532459	-1.21966004432556	-1.20645506897078	-0.631154192755844	-0.490502689534208	7812	0.144137224782386	1	FALSE
g12	1.09969077014504	0.620168364494168	0.844817937286968	-0.65697917520412	-0.509084188373669	7490	0.567823765020027	2	TRUE
g13	-0.409349308991744	-0.476242510395404	-0.628080087610975	-0.590933593741334	-0.490035101268285	7212	0.349140321686079	1	FALSE
g14	1.2967569296763	0.628882887100137	0.473175717612088	-0.658330772125588	-0.520479168540403	6874	0.751236543497236	2	TRUE
g15	-1.28294463059584	-1.14438078268942	-1.11296101809476	2.98163971784728	0.885091239465849	6802	0.141576007056748	1	FALSE
g16	0.690946091132701	1.25743454622731	1.3580538071065	-0.654393874465267	-0.524158334623488	6014	0.397406052544064	2	TRUE
g17	-1.38773168704286	-1.19573089312221	-1.26060304295659	1.22791073141405	4.38848951165159	5786	0.115969581749049	1	FALSE
g18	-1.13891253162681	-0.932604894132286	-0.998060855518542	1.69930315065038	1.35017024774814	5427	0.189054726368159	1	FALSE
g19	0.71213385008654	1.03918302191993	1.03872961537555	-0.149279573109249	-0.332397545042001	5085	0.505014749262537	2	TRUE
g20	0.407882917828789	0.358376647481781	0.606819519448236	-0.175216547522171	-0.254984324842374	4808	0.478369384359401	2	TRUE
g21	-0.703649280266284	-0.550587919243431	-0.537744014294573	1.20108297971489	0.389428708857019	3589	0.301755363611034	1	FALSE
g22	-0.2571221953665	-0.639559368690722	-0.726987760408328	-0.661238797583773	-0.525630258011635	2515	0.449701789264414	1	FALSE
g23	0.642706165890531	0.537424371240174	1.30693908912864	-0.594916988273884	-0.48860747567658	2391	0.485570890840652	2	TRUE
g24	0.426045195500721	1.45424604589839	0.713787543631626	-0.466639365145338	-0.417117373210078	2121	0.695426685525695	2	TRUE
g25	-0.177933382641559	0.108716400469643	-0.0598725810895287	1.36760310053357	0.343396710365442	2078	0.36381135707411	1	FALSE
g26	-1.01332833348025	-0.902397774952636	-0.598771724079996	0.109927990352038	-0.102454437953811	2050	0.191219512195122	1	FALSE
g27	-0.317720424727283	-0.147107131787443	-0.261326770413622	0.370745764988189	0.302846371195068	1763	0.412365286443562	1	FALSE
g28	-1.18270119741661	-1.00940432572806	-1.08461911717315	-0.667513049623812	-0.467848617957381	1532	0.223890339425587	1	FALSE
g29	0.710628085290894	0.476747867227389	0.5273154280187	-0.667513049623812	-0.525630258011635	1007	0.600794438927508	2	TRUE
g30	-1.45795811234145	-1.32062840803429	-1.28054724237442	2.06238264173693	2.1654225079071	1000	0.1	1	FALSE
g31	-0.33345587161209	0.366855729846559	-0.127413235364975	-0.667513049623812	0.242884134015418	933	0.346195069667738	1	FALSE
g32	0.0324049507625128	-0.227263797418758	-0.419530085725528	0.713646152187822	0.0264183126773822	914	0.410284463894967	1	FALSE
g33	-1.46227028126039	-1.28463549644852	-1.21994032160851	-0.632602111834657	-0.506045861426874	452	0.0331858407079646	1	FALSE
g34	-0.980972392872104	-0.952867856780303	-0.996962490024308	-0.667513049623812	-0.525630258011635	429	0.167832167832168	1	FALSE
g35	0.487291952986543	0.300545787332523	0.3852054980484	-0.667513049623812	-0.525630258011635	335	0.373134328358209	2	TRUE
g36	1.43916822203312	-0.280810983585443	0.209724566742334	-0.431994484240261	-0.261387056330691	134	0.686567164179104	2	TRUE
