Cluster	Marker	Method	Stats
8.1-Teff	GNLY	FindMarkers	1.54
8.1-Teff	NKG7	FindMarkers	1.04
8.1-Teff	GZMH	FindMarkers	0.79
8.1-Teff	CST7	FindMarkers	0.55
8.1-Teff	KLRD1	FindMarkers	0.54
8.1-Teff	GZMB	FindMarkers	0.53
8.1-Teff	CCL5	FindMarkers	0.47
8.1-Teff	PRF1	FindMarkers	0.4
8.1-Teff	IFITM2	FindMarkers	0.36
8.1-Teff	IFITM3	FindMarkers	0.33
8.1-Teff	LITAF	FindMarkers	0.32
8.1-Teff	HCST	FindMarkers	0.32
8.1-Teff	ITGB2	FindMarkers	0.28
8.1-Teff	GZMA	FindMarkers	0.28
8.1-Teff	GPR56	FindMarkers	0.28
8.1-Teff	GZMM	FindMarkers	0.27
8.1-Teff	IFITM1	FindMarkers	0.27
8.1-Teff	CD52	FindMarkers	0.26
8.1-Teff	RAP1B	FindMarkers	0.25
8.1-Teff	ZNF683	FindMarkers	0.24
8.1-Teff	NKG7	RankProduct	816.82
8.1-Teff	GZMH	RankProduct	684.64
8.1-Teff	FGFBP2	RankProduct	632.5
8.1-Teff	CST7	RankProduct	366.31
8.1-Teff	PRF1	RankProduct	320.39
8.1-Teff	GNLY	RankProduct	438.68
8.1-Teff	CCL5	RankProduct	177
8.1-Teff	HCST	RankProduct	144.03
8.1-Teff	GPR56	RankProduct	287.52
8.1-Teff	GZMM	RankProduct	162.09
8.1-Teff	PRSS23	RankProduct	244.57
8.1-Teff	GZMB	RankProduct	132.89
8.1-Teff	IFITM2	RankProduct	140.59
8.1-Teff	S1PR5	RankProduct	238.39
8.1-Teff	LITAF	RankProduct	208.3
8.1-Teff	CTSW	RankProduct	175.49
8.1-Teff	KLRG1	RankProduct	191.72
8.1-Teff	ITGB2	RankProduct	127.46
8.1-Teff	C1orf21	RankProduct	155.22
8.1-Teff	KLRD1	RankProduct	222
8.2-Tem	GZMK	FindMarkers	0.8
8.2-Tem	CCL4	FindMarkers	0.65
8.2-Tem	CCL5	FindMarkers	0.51
8.2-Tem	CST7	FindMarkers	0.5
8.2-Tem	DUSP2	FindMarkers	0.48
8.2-Tem	CD74	FindMarkers	0.41
8.2-Tem	GZMA	FindMarkers	0.38
8.2-Tem	NKG7	FindMarkers	0.36
8.2-Tem	CCL3	FindMarkers	0.26
8.2-Tem	CD8B	FindMarkers	0.22
8.2-Tem	IFNG	FindMarkers	0.22
8.2-Tem	CD8A	FindMarkers	0.2
8.2-Tem	LOC100996809	FindMarkers	0.19
8.2-Tem	HLA-A	FindMarkers	0.18
8.2-Tem	CXCR4	FindMarkers	0.17
8.2-Tem	GZMM	FindMarkers	0.16
8.2-Tem	CLDND1	FindMarkers	0.16
8.2-Tem	HLA-DRB4	FindMarkers	0.15
8.2-Tem	DNAJB1	FindMarkers	0.14
8.2-Tem	GZMH	FindMarkers	0.14
8.3a-Trm	CCL4	FindMarkers	0.53
8.3a-Trm	XCL1	FindMarkers	0.48
8.3a-Trm	CCL5	FindMarkers	0.42
